"","origLine","wordNoToTest","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction1","prediction2","prediction3","timeToPredict","Correct"
"220","Stellar of to reply. #digiday I find the lack of women in marketing/pr leadership interesting- it's an area of research for me.",7,"to","reply","digiday","i","find","know","am","love",0.0199999999999818,FALSE
"221","Enter to win an Orioles vintage cap by email or tweet the answer to: Which 2 O's pitchers hold the record for the most opening day starts?",4,NA,"enter","to","win","an","be","the","see",0.0199999999999818,FALSE
"222","Prepare for testing season by practicing to read standardized instructions in dry monotone.",12,"read","standardized","instructions","in","dry","the","my","a",0.0100000000002183,FALSE
"223","What Is A Life Without A Purpose? What Is A Purpose Without Love?",7,"a","life","without","a","purpose","of","lot","great",0.0199999999999818,FALSE
"224","got to fa the one time one time and nope that shit stressede the hell out boa",11,"one","time","and","nope","that","i","the","a",0.00999999999976353,FALSE
"225","that's the beauty of self-publishing, you can find your audience without publishing types.",4,NA,"that's","the","beauty","of","of","best","and",0.0199999999999818,TRUE
"226","i'm waiting patiently for the videos of the tram ride and pics at Yoga! :-)",5,"i'm","waiting","patiently","for","the","the","a","me",0.0100000000002183,TRUE
"227","Congrats to Patti Groff, CLM on winning the Spirit of ALA Award - a huge honor recognizing leadership and dedication!",19,"huge","honor","recognizing","leadership","and","and","leadership","honor",0.0199999999999818,TRUE
"228","Finally Going to bed. Had a long night but atleast it was for a good cause. ❤#RelayForLife ❤",10,"a","long","night","but","atleast","i","the","don't",0,FALSE
"229","Haha. Works for me sometimes. ;)",2,NA,NA,NA,"haha","works","for","your","thanks",0.00999999999976353,FALSE
"230","Send details and I can post.",6,"details","and","i","can","post","know","am","i",0.0199999999999818,FALSE
"231","Wearing my 2011 shirt to the #Skrillex show in Indy tonight. Already got a lot of compliments.",11,"skrillex","show","in","indy","tonight","the","my","a",0.0199999999999818,FALSE
"232","Howdy Ali - good to meet you too!",5,"howdy","ali","","good","to","to","a","one",0,TRUE
"233","The scent of Coco Chanel perfume will aways flood me with lovely memories of my dear Aunt Lynn.",9,"chanel","perfume","will","aways","flood","be","you","will",0.0300000000002001,FALSE
"234","""We All Got That One Friend whose laugh is always funnier than the joke.""",13,"is","always","funnier","than","the","the","one","a",0.00999999999976353,TRUE
"235","Fact: Girls have a lot of crushes but their heart only belongs to one guy.",6,"girls","have","a","lot","of","of","lot","great",0.0199999999999818,TRUE
"236","Number one SEO mistake? Not doing on page keyword optimization.",7,"seo","mistake","not","doing","on","the","it","to",0.0100000000002183,FALSE
"237","Count on me! ;) RT : better get your own party started!",6,"on","me","","rt","","the","to","i'm",0.0199999999999818,FALSE
"238","I hate when i wear bhoops and people are like "" the bigger the hole the bigger the hoe"" and im just like. O___o bitch try me.",2,NA,NA,NA,"i","hate","know","am","love",0,FALSE
"239","Be the light in the world of darkness",4,NA,"be","the","light","in","of","best","and",0.0199999999999818,FALSE
"240","#kids Little Stage Puppet Theater: Little Stage Puppet Theater Friday, May 11, 2012 at 6:30 PM Monrovia California 518 E. Colorado,...",13,"theater","friday","may","","","friday","little","stage",0.0100000000002183,FALSE
"241","lost one dream, so now i'm gonna pursue an even greater one",3,NA,NA,"lost","one","dream","of","is","the",0.0199999999999818,FALSE
"242","Interested to see matte football helmets next year. Not convinced, yet.",9,"football","helmets","next","year","not","and","though","old",0.00999999999976353,FALSE
"243","oh man I want some French toast so bad now...",9,"some","french","toast","so","bad","much","i","to",0.0199999999999818,FALSE
"244","You mean... a winky face is not the correct use?!",4,NA,"you","mean","a","winky","of","lot","great",0,FALSE
"245","omg Jesus loves me SO much that sometimes my hair falls out. Then I pick it up and burn it as an offering. It feels so nice.",10,"much","that","sometimes","my","hair","day","is","life",0.0300000000002001,FALSE
"246","No you Not!",2,NA,NA,NA,"no","you","i","it's","problem",0.00999999999976353,FALSE
"247","Hi there Sueanne! Liking the newest avatar! Getting to be beach weather, right?!",7,"sueanne","liking","the","newest","avatar","of","best","and",0,FALSE
"248","The trip home feels twice as long. Even with good music and junk food. Too bad I don't smoke anymore.",12,"even","with","good","music","and","the","to","tonight",0.0199999999999818,FALSE
"249",": Thanks for ther RT about Administrative Professionals Day.",9,"rt","about","administrative","professionals","day","day","i'm","i",0.0199999999999818,TRUE
"250","Tryin to stay up for loiter squad",3,NA,NA,"tryin","to","stay","be","the","see",0.0100000000002183,FALSE
"251","looks like its a jquery problem. in this.selectMenuItem, this refers to the document, right?",2,NA,NA,NA,"looks","like","like","its","astros",0.0199999999999818,TRUE
"252","Can I get a refill?",3,NA,NA,"can","i","get","know","am","love",0.00999999999976353,FALSE
"253","Sitting in the doctors office 😖😰💔💔",2,NA,NA,NA,"sitting","in","in","on","the",0.0199999999999818,TRUE
"254","ha nah that aint me",3,NA,NA,"ha","nah","that","that's","hilarious",NA,0,FALSE
"255","Hey everyone, please follow one of the best metal drummers ever, Paul Bostaph,",2,NA,NA,NA,"hey","everyone","i","hey","for",0,FALSE
"256","Wow. Bollywood and Smash are still trending. That's how good tonight's episode of #smash was!",9,"are","still","trending","that's","how","the","great","what",0.0100000000002183,FALSE
"257","seriously? I'll have to check it out!",3,NA,NA,"seriously","i'll","have","be","never","have",0.0199999999999818,TRUE
"258","Just saw this tweet, it was good to meet you too! Thank you so much for your support! MT",18,"so","much","for","your","support","the","a","to",0.0199999999999818,FALSE
"259","are you coming to get Donovan",5,"are","you","coming","to","get","the","be","see",0.0100000000002183,FALSE
"260","OK just asked to have it shipped should have it in the next few days",15,"in","the","next","few","days","of","the","best",0.0199999999999818,FALSE
"261","Engineering Dev Manager-excellent leadership opportunity in Bellevue",4,NA,"engineering","dev","managerexcellent","leadership","using","book",NA,0.00999999999976353,FALSE
"262","Sometimes ""no syntax error"" doesn't equal finished; it equals actually beginning.",4,NA,"sometimes","no","syntax","error","i","it's","problem",0.0199999999999818,FALSE
"263","Listening to The Faint always makes me think of you :) Its not bad for paper-writing music!",12,"think","of","you","","its","the","are","to",0.0100000000002183,FALSE
"264","Sleep with one eye open.",3,NA,NA,"sleep","with","one","the","and","you",0,FALSE
"265","Loved that beer, thank you for sharing",2,NA,NA,NA,"loved","that","julia","and",NA,0.0199999999999818,FALSE
"266","Successfully set up Nokia Education Delivery server locally (MacBook Pro) but am at a loss for user guides.",16,"am","at","a","loss","for","of","lot","great",0.00999999999976353,FALSE
"267","/ That, Alberto, is part of our ""secret sauce"" for the game. They are not aware, as that could bias gameplay.",14,"for","the","game","they","are","of","the","have",0.0199999999999818,FALSE
"268","hell yeah! How much are the tickets?!",5,"hell","yeah","how","much","are","as","more","love",0.0199999999999818,FALSE
"269","Thank God, Lifetime, and Thank You John! I hope the show lasts forever on television, this show is very valuable to all of us!",13,"hope","the","show","lasts","forever","of","best","and",0,FALSE
"270","Teen Wolf Trailer Omg I can't wait till it comes back on!!(:",9,"i","can't","wait","till","it","to","know","am",0.0300000000002001,FALSE
"271","U Said ""I Will BE THERE WITH YOU"",But #Wisconsin NEEDS U NOW. GO spend & campaign there",4,NA,"u","said","i","will","know","am","love",0.0299999999997453,FALSE
"272","Late night last night.",4,NA,"late","night","last","night","night","in","at",0.0100000000002183,TRUE
"273","#Pittsburgh WPXI interviewing family across st whose chimney fell down during the earthquake. Tempted 2walk out dressed in my Batman outfit",17,"earthquake","tempted","walk","out","dressed","of","on","the",0.0199999999999818,FALSE
"274","Time to dream bout some crazy ishhh goodnight 💤",8,"bout","some","crazy","ishhh","goodnight","to","be","wash",0.0199999999999818,FALSE
"275","okaay (; LOOOOL i still remember our thoughts",6,"","looool","i","still","remember","know","am","love",0.0100000000002183,FALSE
"276","it's my fault I'm sorry",4,NA,"it's","my","fault","i'm","day","a","is",0.0199999999999818,FALSE
"277","hey Clifbar people, love your stuff but need more info on this arsenic in organic bar business in the news today. What's your take?",3,NA,NA,"hey","clifbar","people","i","hey","people",0.00999999999976353,TRUE
"278","Chicago roadtrip status: ACTIVE.",2,NA,NA,NA,"chicago","roadtrip","tribune",NA,NA,0,FALSE
"279","Watched 'Anatomy of a Murder' tonight. Have u seen it? Late-50s courtroom drama that you would surely appreciate.",15,"lates","courtroom","drama","that","you","i","is","was",0.0199999999999818,FALSE
"280","Happy Mothers Day all Moms from me& FloboRojan RT: , "" Yearning 2 hear well done good & faithful servant..From my Wife."" (cont)",9,"moms","from","me","floborojan","rt","to","up","and",0.0100000000002183,FALSE
"281","Hard to believe but The Great Online (formerly ReignNet) has accumulated over 150 customers!",7,"believe","but","the","great","online","of","and","best",0.0299999999997453,FALSE
"282","Griffin shoots on his way down. Irks me.",5,"griffin","shoots","on","his","way","the","my","a",0,FALSE
"283","Hey shawty, I was thinkin of you (;",7,"i","was","thinkin","of","you","the","you","your",0,TRUE
"284","theyre gonna win just to fly to miami tomorrow",8,"just","to","fly","to","miami","be","the","see",0.0399999999999636,FALSE
"285","sweet! Let me know what you think. “: can't wait to read Humanize by !”",9,"what","you","think","","can't","are","to","can",0,FALSE
"286","Stop trying to control everything and just let go.",5,"stop","trying","to","control","everything","be","the","see",0.0100000000002183,FALSE
"287","It is an absolutely gorgeous December moon.",3,NA,NA,"it","is","an","a","the","was",0.0199999999999818,FALSE
"288","God has so many amazing plans for you :) I can't wait for whats to come and some new music!!",15,"can't","wait","for","whats","to","the","a","me",0.0299999999997453,FALSE
"289","yup-there's all kinds of sneezing & sniffles in my house lately.",11,"sniffles","in","my","house","lately","the","my","day",0.0100000000002183,FALSE
"290","we're apart at a ray",5,"we're","apart","at","a","ray","of","lot","great",0.0199999999999818,FALSE
"291","Holy shit my mom can talk. About the SAME. DAMN. THING. That everybody already knows.",9,"can","talk","about","the","same","of","best","and",0.0199999999999818,FALSE
"292","Coming up on a year with Twitter and not much to show for it...",6,"up","on","a","year","with","the","of","lot",0.0100000000002183,FALSE
"293","Ok I need a remote starter asap:-(",4,NA,"ok","i","need","a","know","am","to",0.0199999999999818,FALSE
"294","I could go for a nice post dinner cheese plate. What kind of host are you, ?",6,"could","go","for","a","nice","the","of","lot",0.00999999999976353,FALSE
"295","Just had the best snow cone, imperial woodpecker in NYC- get there",11,"imperial","woodpecker","in","nyc","get","the","my","a",0.0199999999999818,FALSE
"296","I need to see so many movies.",2,NA,NA,NA,"i","need","know","am","love",0.0100000000002183,FALSE
"297","Why do I always buy the biggest wedding gift?",9,"buy","the","biggest","wedding","gift","of","best","gift",0.0199999999999818,TRUE
"298","younger guys is in the rotation hopefully behind CC and then RF prob with Swisher and catcher",17,"prob","with","swisher","and","catcher","i","the","a",0.00999999999976353,FALSE
"299","Thanks! Still need Help/Suggestions! I had another 6 commitments Saturday from the young youth group.",4,NA,"thanks","still","need","helpsuggestions","to","for","a",0.0199999999999818,FALSE
"300","I deserve to know it's GMO.",4,NA,"i","deserve","to","know","be","the","see",0.0199999999999818,FALSE
"301","Started today at 5 with meditation and a double iced espresso. I think I have found the magic morning combo!",16,"i","think","i","have","found","a","know","am",0.0100000000002183,FALSE
"302","I'ts your blog and you are well aware of the link. Don't play dumb with me.",14,"the","link","don't","play","dumb","of","what","feel",0.0199999999999818,FALSE
"303","Need to vacuum",2,NA,NA,NA,"need","to","to","a","see",0.00999999999976353,TRUE
"304","The panna cotta is a must make!",5,"the","panna","cotta","is","a","a","the","your",0.0199999999999818,TRUE
"305","If this whole journalism thing doesn't work out, I think I now know what I want my second career to be.",9,"thing","doesn't","work","out","i","of","on","the",0.0100000000002183,FALSE
"306","because they're ""bad bitches"" aka bitches doing bad, close to the lowest female life form, next to jersey chasers",9,"aka","bitches","doing","bad","close","as","now","i",0.0199999999999818,FALSE
"307","Man I am in the weeds today at work. Someone bring me ZKabob and brighten my day :)",12,"at","work","someone","bring","me","me","the","a",0.0199999999999818,TRUE
"308","Don't forget.... our 5th annual #Cuts4aCause is TOMORROW from 9-3!!! Don't miss out on this amazing event!! Call 414.988.4165 to book!",8,"th","annual","cutsacause","is","tomorrow","a","the","your",0.0100000000002183,FALSE
"309","At first I wasn't sure (because I'm vegetarian), but some of their menu does look good; especially the cheeses.",12,"vegetarian","but","some","of","their","the","you","your",0.0199999999999818,FALSE
"310","I'll go without before i beg for something...",2,NA,NA,NA,"i'll","go","be","never","have",0,FALSE
"311","RT : And IU moves on to the next round of the tournament!",11,"to","the","next","round","of","of","be","the",0.00999999999976353,TRUE
"312","Silverton ""Skip the Strip"" New Year's Eve celebration. $10 wristband all you can drink 9:20-12:30",5,"silverton","skip","the","strip","new","of","best","and",0,FALSE
"313","I need two new tires .",3,NA,NA,"i","need","two","know","am","to",0.0199999999999818,FALSE
"314","NBA #FanNight Chris webber my dad likes your glasses! DC13",3,NA,NA,"nba","fannight","chris","chris","fannight","webber",0,TRUE
"315","sometimes you gotta do stuff you really don't wanna do.",6,"you","gotta","do","stuff","you","you","u","a",0.0100000000002183,TRUE
"316","- Sounds good bro",3,NA,NA,"","sounds","good","good","like","really",0.0199999999999818,TRUE
"317","I'm digging The Offspring right now.",4,NA,"i'm","digging","the","offspring","of","best","and",0,FALSE
"318","Thanks for the RT! :)",4,NA,"thanks","for","the","rt","of","the","best",0.00999999999976353,FALSE
"319","Enjoy this sunny day with a smile on your face and your head held high cuz u never know when the dark clouds will roll in",24,"when","the","dark","clouds","will","of","best","will",0.0199999999999818,TRUE
"320","because... Why? Doesn't look like a keg. Guess it usually smells like one, I guess.",3,NA,NA,"because","why","doesn't","you","are","the",0.0199999999999818,FALSE
"321","No worries! We hope you find ours interesting and helpful as well!",4,NA,"no","worries","we","hope","need","have","will",0.0100000000002183,FALSE
"322","#Spammers I'd like to see the statistic on what spammers cost american small businesses in a dollar amount. They cost me so much...",20,"a","dollar","amount","they","cost","have","don't","belong",0.0199999999999818,FALSE
"323","Cory Booker is on my tv.",6,"booker","is","on","my","tv","the","a","my",0.00999999999976353,FALSE
"324","If the #2 pencil is so popular then why is it number 2? 😳",9,"is","so","popular","then","why","the","why","you",0.0199999999999818,TRUE
"325","plz go follow she follow back ;D and i will follow you too :D",12,"and","i","will","follow","you","me","you","be",0.0100000000002183,TRUE
"326","Chasing The Sun is honestly a very very amazing song. IT'S SO ADDICTING, lol.",3,NA,NA,"chasing","the","sun","of","best","and",0,FALSE
"327","Brandon don't joke like that",5,"brandon","don't","joke","like","that","a","the","that",0.0199999999999818,TRUE
"328","RT Drake Be Sounding Like He Be Crying His Ass Off When He Be Singing Sometimes ! lOl hell yeah",12,"crying","his","ass","off","when","to","a","from",0.0199999999999818,FALSE
"329",""" Motivation and inspiration energize people, not by pushing them in the right direction as control mechanisms do but by satisfying basic...",9,"energize","people","not","by","pushing","in","the","to",0.0100000000002183,FALSE
"330","I thought you were strictly Infrastructure bro? You doing sharepoint dev roles too now?",12,"you","doing","sharepoint","dev","roles","using","are","to",0.0199999999999818,FALSE
"331","no I had the kids. The ex kinda dropped them on me",7,"had","the","kids","the","ex","of","best","and",0.00999999999976353,FALSE
"332","Playing with fire again.",4,NA,"playing","with","fire","again","the","and","you",0.0199999999999818,FALSE
"333","Ad2's ""When Creatives and Non-Creatives Unite"" is March 13th. Stay tuned in to Twitter and your Email for more information!",12,"march","th","stay","tuned","in","in","stay","th",0.0100000000002183,TRUE
"334","awesome! Although a little jealous bout the Jordans! Haha!",9,"jealous","bout","the","jordans","haha","of","best","and",0.0199999999999818,FALSE
"335","join the club that plays #unfollowfriday every week! It relieves stress!",2,NA,NA,NA,"join","the","the","me","twitter",0,TRUE
"336","you said that u cant say boys like my head...yet i have a bf..so obviously he likes my head",11,"boys","like","my","headyet","i","a","day","is",0.00999999999976353,FALSE
"337","Do you need a custom ""welcome gate"" for your business page? We can do it! Need social media management? We can handle that for you, too!",11,"gate","for","your","business","page","the","a","to",0.0399999999999636,FALSE
"338","-OR- ""Moons Over my Hammy"" lol M",5,"or","moons","over","my","hammy","day","is","life",0.0100000000002183,FALSE
"339","Missing a very important page from my booking notebook...this isnt good.",2,NA,NA,NA,"missing","a","the","a","you",0,TRUE
"340","gets a standing ovation on Leno!! Freedom is catching.",9,"on","leno","freedom","is","catching","a","the","your",0.0199999999999818,FALSE
"341","Sorry for the technical difficulties tonight guys. One day soon we'll have proper working equipment!",2,NA,NA,NA,"sorry","for","yikes","ignore","the",0.00999999999976353,FALSE
"342","it should keep that same letter everytime u plug it in.",10,"letter","everytime","u","plug","it","u","get","ever",0.0199999999999818,FALSE
"343","My Facebook doesn't look any different. Can I say Facebook on Twitter?",9,"any","different","can","i","say","know","am","love",0.0100000000002183,FALSE
"344","The thing I wish I could say to you but knowing I wont<<<",2,NA,NA,NA,"the","thing","of","best","and",0,FALSE
"345","is doing some work! Check them out.",2,NA,NA,NA,"is","doing","a","the","your",0.0199999999999818,FALSE
"346","got the 12th pick,12team league,somebody help me....",5,"got","the","th","pickteam","leaguesomebody","of","best","and",0.0199999999999818,FALSE
"347","you never know!",2,NA,NA,NA,"you","never","are","to","can",0,FALSE
"348","That song still gives me chills!",4,NA,"that","song","still","gives","i","a","can't",0.0100000000002183,FALSE
"349","Aight heat nation victory nite 2nite... Lets go heat",2,NA,NA,NA,"aight","heat",NA,NA,NA,NA,FALSE
"350","I love talking to this kidd",6,"love","talking","to","this","kidd","be","the","week",0.0199999999999818,FALSE
"351","Thin air will help so the offense won't have to drive as far.",13,"have","to","drive","as","far","as","be","the",0.00999999999976353,FALSE
"352","Whoa! Whoa! Koala's get chlamydia?",4,NA,"whoa","whoa","koala's","get","one","direction",NA,0.0199999999999818,FALSE
"353","RIP to the day when Titanic sent more than 1,500 people to a watery grave",13,"than","","people","to","a","the","be","see",0.0100000000002183,FALSE
"354","Lakers would do well to keep drawing fouls on the Thunder bigs.",6,"would","do","well","to","keep","be","the","see",0.0199999999999818,FALSE
"355","is there a worse place to get drafted than Cleveland?",5,"is","there","a","worse","place","of","lot","great",0.00999999999976353,FALSE
"356","can somebody make me a spaghetti diagram showing the connections among all of these data citation programs? Overwhelming...",4,NA,"can","somebody","make","me","money","a","you",0.0199999999999818,FALSE
"357","Well, we're getting close to completing the album!..See the journey!",9,"to","completing","the","albumsee","the","of","best","and",0.0199999999999818,FALSE
"358","Going to bed, Night <3",3,NA,NA,"going","to","bed","be","the","see",0,FALSE
"359","Just finished ""one thousand gifts""....what a read. Just ordered 4 new....hate waiting!",6,"finished","one","thousand","giftswhat","a","of","it","equals",0.0100000000002183,FALSE
"360","I just love when my mother forgets to pay my phone bill. Sure hope I don't have a wreck on the way home and have to call 911.",2,NA,NA,NA,"i","just","know","am","love",0,FALSE
"361","I just swabbed for Janet Liang tonight! And I'm actually home tonight to listen!",9,"janet","liang","tonight","and","i'm","i","the","a",0.0199999999999818,FALSE
"362","Josh Hamilton CRACKS on CJ for 19 home runs on the season!!! Dude is in a ZONE!!!",8,"on","cj","for","","home","the","a","me",0,FALSE
"363","Does anyone get blown out on the road more often than the Lakers?",6,"anyone","get","blown","out","on","of","on","the",0.00999999999976353,TRUE
"364","girls over 150 should stick to sweats and bags over their heads",5,"girls","over","","should","stick","a","have","be",0.0199999999999818,FALSE
"365","Is your last name Trump? Mine got $5 for the first & $1 for each thereafter.",16,"","","for","each","thereafter","the","a","me",0,FALSE
"366","haha its the culture B haha",3,NA,NA,"haha","its","the","a","the","at",0.0100000000002183,TRUE
"367","LA MUJER DE IVAN @ 8:30PM. Screened as part of The New Chilean Directors Showcase.",11,"screened","as","part","of","the","the","you","your",0.0199999999999818,TRUE
"368","haha your full of it! Its a gray day and I'm stressed but doing OK. Ha!",12,"gray","day","and","i'm","stressed","a","i","of",0.0199999999999818,FALSE
"369","Well there might not be any crying in baseball, but there is a great deal of it in skiing.",6,"there","might","not","be","any","the","in","to",0.0100000000002183,FALSE
"370","I would love to connect sometime. Where are you located?",5,"i","would","love","to","connect","be","the","see",0.0199999999999818,FALSE
"371","yessir you are correct",3,NA,NA,"yessir","you","are","are","to","can",0.00999999999976353,TRUE
"372","I want steak and crab so bad right now. I'm thinking a late night grilling session later.",2,NA,NA,NA,"i","want","know","am","love",0,FALSE
"373","You will absolutely love it after the first 75 pages. So, suck it up and get that far. It turns on a dime.",21,"that","far","it","turns","on","was","out","be",0.0300000000002001,FALSE
"374","You know, football isn't nearly as fun to watch when beer isn't involved",4,NA,"you","know","football","isn't","are","to","can",0.0199999999999818,FALSE
"375","Being abused",2,NA,NA,NA,"being","abused","a","the","dependent",0,FALSE
"376","I found Toure Neblett much less of a jerk than one name Toure, the delusional ego maniac with an opinion on everything.",14,"than","one","name","toure","the","the","of","is",0.00999999999976353,TRUE
"377","Anyone out there looking to buy hunting land in Northern & Central Wisconsin this fall?",12,"land","in","northern","","central","the","my","a",0.0199999999999818,FALSE
"378","OMG MediaTemple NameSevers are down! Somebody's going to be in trouble.",8,"are","down","somebody's","going","to","to","be","sleep",0.0199999999999818,TRUE
"379","""#Mathematics is made of 50 percent formulas, 50 percent proofs, and 50 percent imagination."" And #mathematicians prove this all the time!",11,"formulas","","percent","proofs","and","and","percent","formulas",0.0100000000002183,TRUE
"380","can I set up an interview with you guys?",9,"an","interview","with","you","guys","are","to","can",0.0199999999999818,FALSE
"381","wow I have snake bites again",5,"wow","i","have","snake","bites","a","know","am",0.00999999999976353,FALSE
"382","Phillip Humber threw a perfect game will never stop talking about it haha",2,NA,NA,NA,"phillip","humber","humber","threw",NA,0,TRUE
"383","Happy Casimir Pulaski Day! Only in Illinois...",3,NA,NA,"happy","casimir","pulaski","to","pulaski","friday",0.0199999999999818,TRUE
"384","Guys.. make me upset.",2,NA,NA,NA,"guys","make","it","is","like",0,FALSE
"385","Is everyone Getting Along??",3,NA,NA,"is","everyone","getting","a","the","your",0.0100000000002183,FALSE
"386","So it's worth watching? So afraid to commit to another show.",4,NA,"so","it's","worth","watching","a","much","like",0.0199999999999818,FALSE
"387","Yes, you should be mean to the foster dog so he doesn't like you. That's the ticket.",6,"you","should","be","mean","to","to","in","the",0.0199999999999818,TRUE
"388","aw. Okay",2,NA,NA,NA,"aw","okay","okay",NA,NA,0,TRUE
"389","I want to get 100 followers already! Follow me!",8,"get","","followers","already","follow","it","got","haha",0.0100000000002183,FALSE
"390","i guess they think they doin somethin by changing my fb password nd im the Lil Kid lmaooo",3,NA,NA,"i","guess","they","know","am","love",0.0199999999999818,FALSE
"391","I'd like to know how much household help & had when the boys were infants & in school!",2,NA,NA,NA,"i'd","like","like","to",NA,0,TRUE
"392","iv never felt this for any guy. u must be special <3 its a thing called true love <3",8,"this","for","any","guy","u","the","a","of",0.0299999999997453,FALSE
"393","I didn't say it wasn't a good question. I said its not a good question on Mother's Day",7,"say","it","wasn't","a","good","of","lot","great",0.0100000000002183,FALSE
"394","Surrendering isn't just about letting go...It's about letting God!"" I surrender all!",8,"about","letting","goit's","about","letting","the","to","it",0.0199999999999818,FALSE
"395","“: Rooney Rule: You should start #eating right, getting #sleep and #exercising soon, because soon it will be too late!”",18,"because","soon","it","will","be","be","you","was",0.00999999999976353,TRUE
"396","Richard Welsh is Steve's Dad. He is hoping #TeamSoaringHigh from Colorado, where the Welsh family lived a country road or 2 from each other.",4,NA,"richard","welsh","is","steve's","a","the","your",0,FALSE
"397","!++-~| G1 CERTIFIED WET TSHIRT CONTEST --- FRIDAY CLUB DRAMA --WANT TO GET IN FOR FREE?? TXT ME I WILL TELL YOU HOW---214 609 3316 --",15,"want","to","get","in","for","the","my","a",0.0399999999999636,FALSE
"398","#Startingnow I want ALL those girls of the world to know that they are beautiful and that there should #notbebulling and it should stop!",6,"i","want","all","those","girls","of","know","am",0.0100000000002183,FALSE
"399","I miss Ryan Dunn =(",3,NA,NA,"i","miss","ryan","know","am","love",0,FALSE
"400","What a beautiful fall night in Seattle! I love this time of year",6,"a","beautiful","fall","night","in","at","the","in",0.0299999999997453,TRUE
"401","Now that everyone has graduated, I'm off to never never land",7,"everyone","has","graduated","i'm","off","of","proud","a",0.0199999999999818,FALSE
"402","My Name Is MAHATAA is BOOK OF THE MONTH at Agape for the month of February, leading into book signing in mid-March! See you then!",8,"mahataa","is","book","of","the","the","your","you",0.0100000000002183,TRUE
"403","good cause the cowboys could use him in two years",7,"the","cowboys","could","use","him","of","to","that",0.0199999999999818,FALSE
"404","San diego mayor talking about the necessity of art despite hard times!",6,"diego","mayor","talking","about","the","to","the","about",0,TRUE
"405","Some things are easier said than done.",5,"some","things","are","easier","said","you","the","out",0.0300000000002001,FALSE
"406","Thanks for the RT! I hope all is well with you!!",9,"i","hope","all","is","well","a","the","your",0.0199999999999818,FALSE
"407","Kind of wish I wasn't going to prom...",4,NA,"kind","of","wish","i","the","you","your",0.00999999999976353,FALSE
"408","Lol. Shep Jr. don't care!",2,NA,NA,NA,"lol","shep","i","but","have",0.0199999999999818,FALSE
"409",": ALL seized Full Tilt #Poker funds, incl. payment processors, should be used to reimburse players. THX",7,"seized","full","tilt","poker","funds","of","it","wit",0,FALSE
"410","Congrats to all who made last night a sellout..come",2,NA,NA,NA,"congrats","to","to","and","that's",0.0100000000002183,TRUE
"411","yikes..""since 2007, RIM has introduced 37 models"" -- A Boggle of Blackberrys nyti.ms/tKK5hZ",3,NA,NA,"yikessince","","rim","rim",NA,NA,0,TRUE
"412","IDIOT!!! Ban him!!",3,NA,NA,"idiot","ban","him",NA,NA,NA,NA,FALSE
"413","Ok I need kush rehab real shit",4,NA,"ok","i","need","kush","know","am","to",0.0199999999999818,FALSE
"414","RT: it would be amazing and the best thing yet... if u were to follow me yee:)) 11:11",10,"and","the","best","thing","yet","of","i","best",0.00999999999976353,FALSE
"415","Taking orders for custom clips, pic sets and webcam shows!!!! ;)",8,"custom","clips","pic","sets","and","welcome","gate","was",0.0199999999999818,FALSE
"416","Lobby of Marriott playing Bruce (Hungry Heart) waiting for NJ crowd to arrive",5,"lobby","of","marriott","playing","bruce","the","you","your",0.0199999999999818,FALSE
"417","I didn't get home until the saw the sun coming up... I went hard last night",13,"sun","coming","up","i","went","know","am","love",0,FALSE
"418","ugh i know.......long night Smh",2,NA,NA,NA,"ugh","i",NA,NA,NA,NA,FALSE
"419","Sad. The guy who created the Mustang Cobra passed away today. My favorite car!",14,"away","today","my","favorite","car","day","of","is",0.0100000000002183,FALSE
"420","UK sucks. UofL all day",2,NA,NA,NA,"uk","sucks","sucks","uofl",NA,0,TRUE
"421","One day.... :) “: dude! You guys need to come through Canada already haha”",12,"need","to","come","through","canada","the","be","see",0.0199999999999818,FALSE
"422","Tommorow is B-day nd Everyone should Wish Her A Good One. She is One Of Are Biggest Supporters. So S/O Nd Love You Pintos :-)",5,"tommorow","is","bday","nd","everyone","a","the","your",0.00999999999976353,FALSE
"423","Take a risk today! Cooperation is key to executing complex business tasks – but competition is at the heart of innovation.",4,NA,"take","a","risk","today","of","lot","great",0.0199999999999818,FALSE
"424","#Brewers upcoming series this week: 2 games at NY Mets / 2 games at Houston / 3 games vs Twins",16,"","games","at","houston","","the","a","work",0,FALSE
"425","""life is too short, gotta live it long""-Chris Rene, love it!!",9,"gotta","live","it","longchris","rene","was","out","be",0.0300000000002001,FALSE
"426","Started revising the chapter. Your suggestions are helping this argument along so well. I can't thank you enough!",10,"suggestions","are","helping","this","argument","week","is","year",0.0199999999999818,FALSE
"427","I know that. But others don't.",5,"i","know","that","but","others","i","the","don't",0.0100000000002183,FALSE
"428","Have you given your presentation yet? How's the conference going?",6,"you","given","your","presentation","yet","to","heart","yet",0.0299999999997453,TRUE
"429","""I look all summery and like a volleyball player"" made my day !",11,"a","volleyball","player","made","my","my","of","made",0,TRUE
"430","Yea..I curse like a fucking sailor. But I'm working on it lol",5,"yeai","curse","like","a","fucking","of","lot","great",0.0199999999999818,FALSE
"431","Dream interpretation: It's about sex. That'll be $125.",2,NA,NA,NA,"dream","interpretation","so","interpretation","it's",0,TRUE
"432","send the pizza in the mail. :)",2,NA,NA,NA,"send","the","me","it","a",0.0100000000002183,FALSE
