"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","prediction9","prediction10","timeToPredict","Correct"
"279","Look forward,not back.Focus on the future not the past❤","look forwardnot backfocus",4,"on","future",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"280","I swear I have no black clothes... Ugh","i swear i",4,"have","will","today","cant","mother","facebook","black","lebron","waiting","rage",NA,0.0200000000040745,FALSE
"281","Soccer on ice? That's probably the only way you'd get me to watch it! I'm a 100% hockey fan :-)","soccer on ice thats probably the only way youd get",11,"me","home","ready","better","one","first","free","back","follow","new","tired",0.0199999999967986,FALSE
"282","Have MITT ROMNEY ever had a PLAN OF ACTION or A SOLUTION. I can see myself being rolled into surgery and being told, ""YOU ARE OWN YOUR OWN.""","have mitt romney ever had a plan of action or a solution i can see myself being rolled into surgery and being told you are own your",28,"own",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"283","if u have 13 ice cubes and i have 38, how many pancakes will fit on my roof? The answer is purple because aliens don't where hats.","if u have ice cubes and i have how many pancakes will fit on my roof the answer is purple because",22,"aliens","seems","enjoy","also","aliens","socks","straws",NA,NA,NA,NA,0.0100000000020373,TRUE
"284","I'm bored at home.","im bored",3,"at","home","lol","someone","shit","ideas",NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"285","Undersea cable bill gets 1 last chance in Senate","undersea cable bill",4,"gets","sure","hes","gets","feeling","irvan",NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"286","#whatwillgagawear what ever is laying on the side of the road","what ever",3,"is","seen","ever","get","day","sure","see","saw","good","one","watching",0.0199999999967986,FALSE
"287","Wolf Gang is neither a Wolf nor a Gang. Discuss.","wolf gang is neither a wolf nor",8,"a","gang","trailer",NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"288","yeah and ain't missed nothing smh","yeah and aint missed nothing",6,"smh","else","great","lol","world","like","good","little","ur","certain","comes",0.0199999999967986,FALSE
"289","or can u help me get more followers? It would ne awesome :)","or can u help me get more followers it would ne",12,"awesome","th","awesome",NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"290","are they beefing over sports? i am late.","are they beefing over",5,"sports","sports",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"291","It was indeed!","it",2,"was",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"292","Any of your friends need some new music?Tell them to check us out on Spotify. It's free and awesome!","any of your friends need some new",8,"musictell","music",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,FALSE
"293","why? You want to still be friend?","why you",3,"want",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"294","Huge congratulations to new law graduates, and remember to thank your mother!","huge congratulations to new law graduates and remember to thank",11,"your","much","rt","god","im","though","service","one","happy","great","everyone",0,FALSE
"295","in Ghostwriter app when you move away the iPen from screen you can turn page, zoom in and out. I meant the iOS iPad multi-touch.","in ghostwriter",3,"app","app",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"296","If you let words hurt you, you a lil (b word). Use those words to make you stronger.","if you let words hurt you you a lil b word use those words to",16,"make","make","can","tweet","hurt","cant","right","whether","complete","touched","calm",0,TRUE
"297","Ready to go -____-","ready to",3,"go","go","be",NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"298","I am today...not tomorrow though.","i",2,"am",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"299","look forward to your #SocialMedia tweets!","look forward to",4,"your","the","tomorrow","your",NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"300","make it crack then nigga!! (at least tweet sum pg dead dan a mf lol)","make it then at least tweet sum pg dead dan",11,"a","mf",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"301","Told to stray away from what I am, said the world would never take it. Design a mold for me to fit and watch me break it.","told to stray away from what i am said the world would never take it design a mold for me to fit",23,"and","school","watch","person","beautiful","building","roof",NA,NA,NA,NA,0,FALSE
"302","Cyberdating in China: Woman w/ duck's egg face seeks handsome devil, not from Wuhan, no Virgos. Illuminating piece on ""#romance by","cyberdating",2,"in","china",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0300000000061118,FALSE
"303","total ""duh""","total",2,"duh","white","machine","doom","duh","foodie",NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"304","Looks like Astros want to be like Larussa & cards!","looks like astros want to",6,"be","be","get","hear","know","follow","see","use","win","read",NA,0.0100000000020373,TRUE
"305","PLEASE FOLLOW AND TELL HER I SENT YU! SHES A HUGE 1D FAN! AND AMAZING AT SINGING! FOLLOW FOLLOW FOLLOW","please follow and tell her i sent",8,"yu","you",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"306","Oh, I like that process! Naturally allows for more focus by students on each type. Also love the ""TARGET"" idea fr earlier tweet.","oh i like that process naturally allows for more focus",11,"by","students","hatchback","rims",NA,NA,NA,NA,NA,NA,NA,0,FALSE
"307","Our marriage functions through Twitter. It's the only way we can be sure we're reaching one another.","our marriage functions through twitter its the only way we can",12,"be","get",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"308","It's thoughts like this that catch my troubled head when you're away when I am missing you to death","its thoughts like this that catch",7,"my","next","dj","troubled",NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"309","Let's go to da' beach this summer sister!! Family vaca? I think so(:","lets go to da beach this summer sister",9,"family","thing","make","family","plays","sent","buff","judy",NA,NA,NA,0.0100000000020373,TRUE
"310","In Cabo enjoying the sun, sand and surf! Went to #SammysBirthdayBash last night at the #CaboWabo and survived the craziness!","in cabo",3,"enjoying","enjoying",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"311","just wanted to be the first say welcome to New York.. Can't wait to see you on Saturday. <3 bri","just wanted to be the first say welcome to new york cant wait to see",16,"you","you","your",NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"312","#FF Back at ya!","back",2,"at","next","go","school","home","d","ya","think","day","us","really",0.0100000000020373,FALSE
"313","Then you clearly didn't read my AWP online diary posts.","then you clearly",4,"didnt","didnt","greatness","horrible",NA,NA,NA,NA,NA,NA,NA,0,TRUE
"314","MONEY IS ALL I KNOW","money",2,"is","money","know","make","buy","lol","world","cant","let","son","energy",0.0200000000040745,FALSE
"315","The longer user generated content stays up, the better it gets, ie Wikipedia. True/false/both?","the longer user generated content stays up",8,"the","better","comfortable",NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"316","really? U just wanted ut cus it looked better with the phone cases then the black one;P haha","really u just wanted ut cus it looked better with the",12,"phone","now","place","get","just","time","even","soon","question","watch","show",0,FALSE
"317","Btw, and I will be out there for WWDC. Beer?","btw and i will",5,"be","be","not","try",NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"318","Beautiful weather this morning. Screw the jacket.","beautiful weather this morning the",6,"jacket","back","get","school","make","us","good","happy","everyone","u","hate",0.0100000000020373,FALSE
"319","Pronunciation guide for southerners ""Bordieu"" - if nothing else, try ""Bore- doo.""","pronunciation guide for southerners bordieu if nothing else try",10,"bore","get","best","just","new","good","watching","work","fun","hope","ill",0.0199999999967986,FALSE
"320","Whoah what?! Sorry that was just odd cause I never see anyone with their name spelled like mine...0.0","whoah what",3,"sorry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"321","for avoiding me","for",2,"avoiding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"322","Stop counting pages and start counting meaningful user experiences?","stop counting pages and start counting meaningful",8,"user","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"323","that was my fav one","that was my fav",5,"one","one","place","book","gurl","prof",NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"324","Taxes #DONE =)....phew, wasn't near as bad as I thought!","taxes phew wasnt near as bad",7,"as","as",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"325","I can just pick you up there if you want...do you have your phone? It's easier to text you","i can just pick you up there if you wantdo you have your phone its",16,"easier","bill","interview","now","go","today","cant","easier","stopped","case","daddy",0.0200000000040745,TRUE
"326","Ready for Yelper Party!","ready",2,"for","go","just","done","next","take","tonight","weekend","whole","american","strong",0,FALSE
"327","event at the Roux House on Thursday! Get your teams and wine ready.","event at the roux house on thursday get your teams",11,"and","wine","lost",NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"328","I'm wary of inventing new terms in general, but how about ""data translators""? Thoughts, anyone?","im wary of inventing new terms in general",9,"but","data","meeting","interest","zodhopefully",NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"329","where is out here in fl? and hit me up when i come to town well do a throw back swisha for back in the day","where is out here in fl and hit me up",11,"when","now","follow","us","u","tomorrow","wit","shit","something","come","hard",0.0199999999967986,FALSE
"330","I dont care im still real","i dont care im",5,"still","just","glad","going","bored","gonna","proud","sorry","sure","ready","really",0.0100000000020373,FALSE
"331","thanks for the support! Rock on!","thanks for the",4,"support","rt",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"332","Kodashii's shoe is on Tadashii's foot! lol","kodashiis shoe is on tadashiis foot",7,"lol","lol","falls","cramps",NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"333","Howlin circus makin waves. So stoked !","howlin circus makin",4,"waves","covers","waves",NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"334","Turns out, Charlie Sheen's insanity was just a REALLY early April fools day joke. Looks like we're the fools after all...","turns out charlie sheens insanity was just a really early april fools day joke looks like were the fools",20,"after","day",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"335","Oh, by all means! Yes, ma'am!","oh",2,"by","yeah","know","well","twitter","shit","boy","gosh","thank","like","just",0,FALSE
"336","Residual Income for stay at home Moms! Best and first business of it's kind. No risk, not MLM! Give info 4 phone interview 360-217-7967","residual income for stay at home moms best and first business",12,"of","now","want","love","news","kind","worlds","trip","group","page","cards",0.0199999999967986,FALSE
"337","#20ThingsAboutMe I have two adopted sisters. I want to be a cosmetologist. I'm actually stronger than I look.","i have two adopted sisters i",7,"want","want",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"338","Watching Sherry Shepherd with Prince was hilarious ... we true Prince fans know what she was feeling in that moment.","watching sherry shepherd with prince was hilarious we true prince fans",12,"know","get","know","miss","can","ya","fuel","bonfire","commonness","inspiring","miamithey",0.0200000000040745,TRUE
"339","With the 24th pick in the 2012 NFL Draft, the Pittsburgh Steelers select...A Pinecone.","with the",3,"th",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"340","Chilling in the studio! (:","chilling in the",4,"studio","world","morning","next","studio","middle","top","right","nfl","day","woods",0.0199999999967986,TRUE
"341","I'm amazed any fans can fit into the building when the Heat play cuz Bron Bron's ego takes up 2/3 of space with D3PO and Bosh filling rest.","im",2,"amazed","just","glad","going","bored","gonna","proud","sorry","sure","ready","really",0.0299999999988358,FALSE
"342","RT if u like valentine's day","rt if u like valentines",6,"day","day",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"343","smoke one put it out. smoke two put it out smoke three and finally ask do u want to hit dis....","smoke one put it out smoke two put it out smoke three and finally ask",16,"do","question","now","time","u","people","god","today","p","advice","author",0,FALSE
"344","The movie was cool last night but what's with these kids not saying excuse me. They just look at you and keep on gettin up. #Grateful TY Mom","the movie",3,"was","time","years","best","d","eat","haha","cool","since","idk","funniest",0.0199999999967986,FALSE
"345","The best wwe superstar of all time","the",2,"best",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"346","get it gurlll!","get it",3,"gurlll",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"347","haha! He is really adapting the American way?! Liam stick with the British. Keep it that way.","haha he is really adapting the",7,"american","american",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,TRUE
"348","YEAH JERSEY SHORE YEAH...yes that is tweet-worthy","yeah jersey shore",4,"yeahyes","yeahyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"349","I'm just tired of us stupid poor folk (that would be you, the GOP) continuously voting for these cronies.","im",2,"just","just","glad","going","bored","gonna","proud","sorry","sure","ready","really",0,TRUE
"350","Act like a gentleman and you'll attract a lady. Act like douchebag and you'll attract nobody.","act like a gentleman and youll attract a lady act like and youll attract",15,"nobody","certain","lady","nobody",NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"351","I owe my followers some twitpics","i owe my followers some",6,"twitpics","just","make","really","love","days","give","already","ne","pleaze","twitpics",0,TRUE
"352","sore. tired. going to sleep :D","sore tired going",4,"to","bed","go","great","tomorrow","tonight","win","sleep","trouble","get","back",0.0199999999967986,FALSE
"353","THANKS HEAVENLY FATHER TO SEE ANOTHER DAY!","thanks heavenly father to see another",7,"day","day",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"354","Just heard about a vegan restaurant in Charlotte. Dairy and egg free kitchen, with a food allergy conscious staff? Don't mind if I do!!!!","just heard about a vegan restaurant in charlotte dairy and",11,"egg","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"355","The downfall of us all #adaytoremember (:","the downfall",3,"of","us",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"356","who doesn't want to get to the juicy bits and all that bondage and sex! Don't we all wish we were Anastasia!","who doesnt want to",5,"get","be","get","hear","know","follow","see","use","win","read",NA,0.0100000000020373,TRUE
"357","“: Idkk about hving his restroom party lmao” I would let you in but they are ""standing room only"" events","“ idkk about hving his restroom party lmao” i would let you in but they are standing",18,"room","ovation","right","room",NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"358","Watch #GreatDaySA today and see what makes a 18 year old ride his bike 30,000 miles across 2 continents to break 5 world records!","watch today and see what makes a year",9,"old","old","now","next","ago","much","day","believe","though","can","everyone",0,TRUE
"359","Just a little love tap.","just a",3,"little","little",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"360","Enjoyed my evening...","enjoyed",2,"my","event","thanks","evening","food","chance","style",NA,NA,NA,NA,0.0200000000040745,FALSE
"361","Dealing with FMS but loving this spring weather. It puts the spring back to my step & smile on my face. Hope you're doing well","dealing with fms but loving this spring weather it puts the spring back to",15,"my","my","school","the",NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"362","so funny!!","so",2,"funny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"363","Sucker Punch cost $82M to make & grossed $19M last weekend. Diary Of Wimpy Kid 2 cost $21M to make & grossed $23.8M last weekend! Go Wimpy!","sucker punch cost m to make grossed m last weekend",11,"diary","go","know","think","excited","favorite","questions","use","thanks","long","probably",0.0100000000020373,FALSE
"364","Awesome. Thanks! I would love more infomation.","awesome thanks i",4,"would","follow","following","much","rt","everyone","retweet","guys","mention","got","great",0.0199999999967986,FALSE
"365","that makes a ton of sense!","that makes",3,"a","sense","think","want","year","happy","great","wanna","well","ya","anyone",0.0100000000020373,FALSE
"366","SRSLY THO. I die every single time I watch this show.","srsly tho i die every single time i watch this",11,"show","im","rt","favorite","might","beer","show","today","break","win","movie",0.0199999999967986,TRUE
"367","I have a flat tire on my scooter!!","i have",3,"a","to","no","been",NA,NA,NA,NA,NA,NA,NA,0,FALSE
"368","rumors abounding that Daniel Day-Lewis is going to play General Zod...hopefully it's true!","rumors abounding that daniel daylewis is going to play",10,"general","my",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"369","getting new music for this weekend! #pow then out to have a few dranks!!!!","getting new music for this weekend then out to",10,"have","be",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"370","can you please #FOLLOWMECODY for ? it would make her day!40","can you please",4,"for","follow","get","dont","love","help","come","join","know","just","rt",0.0200000000040745,FALSE
"371","lol the people I know are all good looking! My brother in law being one of them!","lol the people i know are",7,"all","want","can","going","im","good","dont","u","goes","lol","like",0,FALSE
"372","Fall out boy playing at work? Shit just got angsty","fall out boy playing",5,"at","like","work","best","tomorrow","today","tools","right","lot","fire","nye",0,FALSE
"373","MLS is a joke. Premier league is where its at and real madrid will do ok but won't be the same without Ronaldo","mls is",3,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"374","Missing the Minnesota Twins this week? We've got the perfect solution for you: grab Twins tickets for Monday's game against the Red Sox!...","missing the minnesota twins this week weve got the perfect solution for you grab twins tickets for mondays game against",21,"the","will","tonight","just","time","though","make","miss","really","ever","play",0.0199999999967986,FALSE
"375","It's a beautiful day & the Sidewalk Sale is up. Great savings of 30-40% on an amazing selection of books, holiday cards, & napkins.","its a beautiful day the",6,"sidewalk","even","work","just","think","school","still","d","falls","long","probably",0.0100000000020373,FALSE
"376","5 Week Technique Class Begins July 27th. Tuesday Evenings 7-10pm @ Actor's Intensive Studio in Los Angeles. www.actorsintensive.com","week technique class begins july th tuesday evenings pm actors",11,"intensive","actors","intensive","marines",NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"377",""": Don't Be A Pussy, Eat The Pussy ;)""","dont be a eat",5,"the","much","great","food","breakfast","lots","big","pizza","pussy","pray","sigh",0.0100000000020373,FALSE
"378","i miss </3 i would retweet her tweet but it doesn't lemme. :c","i miss i would retweet her tweet but",9,"it","like","just","much","us","good","happy","days","true","name","close",0.0199999999967986,FALSE
"379","Mikey can you say ''Happy Birthday'' to :)","mikey can you",4,"say","follow",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"380","So sad to hear of passing of Junior Seau. One of most feared linebackers ever! Thoughts & prayers to his entire fam!","so sad to hear of passing of junior seau one of most feared linebackers ever thoughts prayers to",19,"his","entire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,FALSE
"381","I really hate my life right now! I swear I can't truth any one AT ALL! I'm done. Plus my phone is completly destroyed! O m g","i really hate my life right now i swear i cant truth any one at all im done plus my phone",22,"is","bill","interview","now","go","today","cant","easier","stopped","case","daddy",0.0199999999967986,FALSE
"382","and he went to Inglewood in 06","and",2,"he",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"383","go to the rio hotel on the beach","go to",3,"the","the",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"384","2 hrs until this week's grown up talk radio. Still time to send in your ideas for tonight's show:","hrs until this weeks grown",6,"up","much","talk",NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"385","Ok, not doing the #oscars, watching #anniehall instead! :)","ok not doing",4,"the","need","just","think","ha","watching","god","hear","ill","fuck","stage",0.0100000000020373,FALSE
"386","Why hello LONGEST DAY EVER. I'd like to be done with you now.","why hello longest day",5,"ever","even","work","just","think","school","still","d","falls","long","probably",0,FALSE
"387","No Derrick Rose and no Dwight Howard=Heat eastern conference championship","no derrick rose",4,"and","going","hip","dwight",NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"388","Greenwich. One of my most favorite places on earth. I love walking this area at night during the summer.","greenwich one of my most favorite places on earth i love walking this area",15,"at","night","stop","research","restaurants",NA,NA,NA,NA,NA,NA,0,FALSE
"389","wow full house theme song used in sarah silverman program","wow",2,"full","really","followers","yeah","hate","show","thanks","things","made","lot","full",0.0100000000020373,TRUE
"390","(And then that friend comes back for a rematch right?)","and",2,"then",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"391","67% of US wholesalers surveyed are more optimistic on their business now than three months ago, highest % in over a year. Via UBS Survey","of us wholesalers surveyed are more optimistic on their",10,"business","business",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,TRUE
"392","Boo. I accidentally threw away my list of story ideas for next semester!!","boo i accidentally threw",5,"away","away","perfect",NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"393","Change is a process not an action.","change is a process",5,"not","dont","action","catalog","naturally",NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"394","I don't think the Browns provided Colt McCoy enough talent around him to get a fair evaluation of his talent moving forward","i dont think the browns provided colt mccoy enough talent around him to get a fair evaluation of his",20,"talent","talent",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"395","Perfect golf weather.","perfect",2,"golf","go","think","way","game","golf","reading","solution","opening","gym","fits",0,TRUE
"396","Thanks for following! Love the #RonR ideology and looking forward to reading your tweets!","thanks for following love the ideology and",8,"looking","best","looking",NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"397","Completely agree RT don't think culture can be taught... culture is nurtured","completely agree rt",4,"dont","im","just","great","dont","hope","now","follow","rt","new","one",0.0100000000020373,TRUE
"398","#icantgoadaywithout rolling up.","rolling",2,"up","vice",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"399","Editing friend's reel and listening to Monday Night Football on Internet radio. Auditory sensation is awesome. Luckily I am easy graphics.","editing friends reel and listening to monday night",9,"football","much","though","good","one","ever","well","lol","people","fun","twitter",0.0199999999967986,FALSE
"400","thanks! My attention was turned to two articles I am trying to get out the door, but I am going to dig back into this essay today.","thanks my attention was turned to two articles i am",11,"trying","so","going","trying","in","now","just",NA,NA,NA,NA,0.0100000000020373,TRUE
"401","First team since 2008 to win in San Diego & I'm proud to say my #Packers were the ones to break it!! 8-0 baby :D","first team since to win in san diego im proud to say",13,"my","hello","just","u","times","goodbye","hi","saw","welcome","feel","one",0.0200000000040745,FALSE
"402","Have you ever fucked a Japanese girl?","have you",3,"ever","seen","ever",NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"403","better question. Why do womans NCAA players look so much like men...","better question why do womans ncaa players look",9,"so","like","forward","great","twitter","much","new","good","tweet","tell","things",0.0199999999967986,FALSE
"404","I need a chill day.","i need",3,"a","to",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"405","I Love Ignoring People , But I Hate Being Ignored .","i love ignoring people but",6,"i","like","know","just","dont","life","ask","think","saw","happy","can",0,FALSE
"406","sorry, try again. it should work now.","sorry try again it should",6,"work","be",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"407","When I go back to school ima wish I hadn't stayed up so late","when i go back to school",7,"ima","tomorrow","district","like","time","im","thing","year","never","help","work",0.0199999999967986,FALSE
"408","There always seems to be a call for #prayers ...but I'm ready anytime...","there always",3,"seems","good","now","like","think","welcome","wanted","love","buy","mind","free",0.0100000000020373,FALSE
"409","in re: that Adrienne Rich snippet: Oh Twitter, disrespecter of spaces: Those spaces mean something, you know? Something worthy of attention.","in re that adrienne rich snippet oh",8,"twitter","yeah","know","well","twitter","shit","boy","gosh","thank","like","just",0.0199999999967986,TRUE
"410","Thank you 4 being a positive role model for kids. How involved with eMVe clothing will you be?","thank",2,"you","much","rt","god","im","though","service","one","happy","great","everyone",0.0100000000020373,FALSE
"411","So what is that crazy moon doing tonight? Eclipsing?","so what",3,"is",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"412","nice. I'm not a huge fan but have heard great things.","nice im not a huge fan but have heard great",11,"things","day","see","job","event","time","week","work","point","people","seeing",0.0200000000040745,FALSE
"413","I love my bestfriend! She swears she'll pay half for a plane ticket but i just cant let her do that!","i love my bestfriend she swears shell pay half for",11,"a","well","beer","life","money","plane",NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"414","Eliminating distractions you don't really need allows you to be more productive with the things you really want.","eliminating distractions you dont really need allows you to",10,"be","be",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"415","Ok WTF is going on it seems to me that someting is happeniing here what it is aint exactly clear","ok is going on it seems to me that someting is happeniing here what",15,"it","aint",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"416","Fun! RT The Race Village opens today- 10:00. Come on down we are next stadium.","fun rt the race village",6,"opens","pp","opens",NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"417","Never use the slang ""sitch"" and ""deets"" in the same sentence. I did once & it was bad. Really bad.","never use the slang sitch and deets in the same sentence i did once it",16,"was",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"418","always good advice!","always",2,"good","good","now","like","think","welcome","wanted","love","buy","mind","free",0.0100000000020373,TRUE
"419","Nobody said it would be easy, but I didn't know it would be so hard.","nobody said it would be easy but i didnt know it would be so",15,"hard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"420","Jesusspotting: at the bus station on the corner of Santa Monica blvd and Crescent Heights.","jesusspotting",2,"at","bus",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"421","VOTING has ended... thanks to everyone who voted...looks like we missed 1st place by a few votes...so close!!!","voting has ended thanks to everyone who votedlooks like we missed st place by",15,"a","get","know","like","much","time","im","find","new","happy","love",0.0100000000020373,FALSE
"422","A Monthly payment plan is now available for those wishing to enroll in Hawaii's #1 RE Investor training program - the Millionaire Mentor...","a monthly payment",4,"plan","plan","estimated","processors",NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,TRUE
"423","I wanna leave !","i",2,"wanna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"424","In all my months of cleaning fish, Chuck -- I'm really shocked I haven't dropped the bowl or killed him.","in all my months of cleaning fish chuck im really shocked i havent dropped",15,"the","bowl",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"425","Love when an oblivious Asian girl almost runs into me in the parking lot then I follow her home bc she lives in my complex.","love when an oblivious asian girl almost runs into me in the parking lot then i follow her",19,"home","back","follow","please","us","u","d","friday","ill","get","glad",0.0199999999967986,FALSE
"426","Starting to gather assessment data on Emory's own instances of WordPress and Omeka. Surveying instructors and researchers.","starting to gather assessment data on emorys own",9,"instances","instances",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"427","i did","i",2,"did",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"428","YAY!!! Thanks Sam, hope you love it.","yay thanks sam hope",5,"you","see","great","enjoyed","well","youre","can","u","everything","wonderful","get",0.0199999999967986,FALSE
"429","I seem to be having Twitter hiccups.","i seem to be",5,"having","in","done","the","more","like","happy","lame","all",NA,NA,0.0100000000020373,FALSE
"430","Good thing I took a shower last night. I am way too lazy to take one right now.","good thing i took a shower last night i am way too lazy to take one",17,"right","day","time","direction","favorite","thing","best","get","im","friend","next",0.0199999999967986,FALSE
"431","Throat is killin me, bit by bit.","throat is",3,"killin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"432","Out and about with","out",2,"and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"433","Nice! Hope the rest of the week goes smoothly for you as well. PS. I signed up for a speed date :)","nice hope the",4,"rest","see","great","enjoyed","well","youre","can","u","everything","wonderful","get",0.0100000000020373,FALSE
"434","sorry, no giveaways for this event. guess it was pretty pop-ular!! : can u please get me two tickets?","sorry no giveaways for this event guess it was pretty popular can",13,"u","get","go","make","follow","see","still","buy","help","play","say",0.0200000000040745,FALSE
"435","Just got nicest message from an old friend in support of nat. library week. Proud to be assoc w/ libraries & supporting community learning","just got nicest message from an old friend in support of nat library week proud to be assoc w libraries",21,"supporting","archival","supporting",NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
