"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","timeToPredict","Correct","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","prediction9","prediction10"
"274","The science on mind games may be inconclusive, but research seems to suggest that they can't hurt -- except possibly your wallet.","the science on mind games may be inconclusive but research seems to suggest that they cant hurt except",19,"possibly","one",0,TRUE,"work","special","everyone","maybe","possibly","barred",NA,NA,NA
"275","Others mentioned that a carnival had been in town over the July","others mentioned that a carnival had been in",9,"town",NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","The general-admission portion of the event is from 6 to 9 p.m. on Saturday, March 3, at the Factory (1128 Washington Avenue). Tickets are $45 in advance, $50 at the door, and include valet","the generaladmission portion of the event is from to pm on saturday march at the",16,"factory","time",0.0199999999967986,FALSE,"end","university","same","center","scene","bottom","th","turn","risk"
"277","When it works, though, it is a sight to behold. The Americans looked like a cat toying with a mouse for much of the first half of the final, reeling defenders in only to make the ball disappear with a deft flick or smooth pass to a teammate. Japan's confusion and frustration gave the Americans wide-open spaces in front of the goal, and they easily could have been up 4-0 at halftime.","when it works though it",6,"is","is",0.0299999999988358,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Cuisine: Eclectic Mediterranean.","cuisine",2,"eclectic","left",0.0100000000020373,TRUE,"along","claims","chefowner","eclectic","locavore",NA,NA,NA,NA
"279","""That trade with Cleveland kind of set the tone for this draft, and us being able to do some things,"" Vikings GM Rick Spielman said. ""That was a huge, huge thing to get done right before the draft started.","that trade with cleveland kind of set the tone for this draft and us being able to do some things vikings gm rick spielman said that was a huge huge thing",32,"to","think",0.0199999999967986,FALSE,"want","get","like","people","game","place","go","never","still"
"280","3. Greater Chicago (Ind./Ill.), $2.3 billion","greater chicago",3,"indill","now",0.0100000000020373,FALSE,"said","will","police","area","new","vegas","likely","washington","well"
"281","Asked whether he felt his team was ready for the game, Jones said: ""I'd never say that I don't think anybody is ever not ready for a game. Everybody has their own style on how they play, and if they get ready or not. We just have to come out with more fire, especially in day games. I know we're all tired, probably didn't get that much sleep. The same goes for them. You have to come out ready to play and try to get yourself real hyped three hours before the game.","asked whether he felt his team was ready for the game jones said id never say that i dont think anybody is ever not ready for a game everybody has their own style on how they play and if",40,"they","the",0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","""We have our real estate business. This is our home,"" Danielson says.","we have our real estate business",7,"this","community",0.0299999999988358,FALSE,"manager","im","leisure","also","members","people","center","executive","government"
"283","Reneau, who trains six days a week, only competes with men in her gym in Visalia. Getting to fight women in a huge tournament is unheard of, she said.","reneau who trains six days a week only competes with men in her gym in visalia getting to fight women in a huge tournament is unheard of she",29,"said","said",0.0200000000040745,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","""Achieving record performance this year is a remarkable accomplishment,"" Chairman, Chief Executive and President Don Washkewicz said in a written statement. ""I am especially proud of our global team that delivered this performance.""","achieving record performance this year is a remarkable accomplishment chairman chief executive and president don washkewicz said in a written statement i am especially proud of our global",29,"team","warming",0.0299999999988358,TRUE,"team","community","conference","growth","leaders","markets","economy","internet","marketing"
"285","Senate Republicans refused to confirm anyone to head the new agency, demanding changes in its governance first. They said the Dodd-Frank bill put too much unbridled power in a single director, a recipe for abuse. GOP senators, who had kind words for Cordray personally, said they wanted a five-member oversight board and auditors who could examine the agency's work.","senate republicans refused to confirm anyone to head the new agency demanding changes in its governance first they said the doddfrank bill put too much unbridled power in a single director a recipe for",35,"abuse","while",0.0199999999967986,FALSE,"year","new","couple","game","city","lead","short","third","long"
"286","Rep. Don Beezley was the only Republican to support the measure on the finance panel.","rep don beezley was the only",7,"republican","thing",0,FALSE,"one","other",NA,NA,NA,NA,NA,NA,NA
"287","8. We have a very diverse crowd now. We have the regular working-class people. We have lots of women come to our shows. I think it's because we're good looking. … If you go to any ordinary metal show, it's like spotting a rare bird, no pun intended. But now, it's a lot of women.","we have a very diverse crowd now we have the regular workingclass",13,"people","people",0.0100000000020373,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","Detectives began re-interviewing witnesses after receiving a Jan. 4 Sun-Times request for all reports on the case. The police initially refused to release anything but a heavily redacted, two-page report, citing an ""ongoing criminal investigation"" of the nearly 7-year-old case. They released a half-inch-thick stack of documents on Friday, blacking out most names in the reports, after now closing the case without seeking any charges. They classified it ""CLEARED CLOSED / EXCEPTIONALLY.""","detectives began reinterviewing witnesses after receiving a jan suntimes request for all reports on the case the police initially refused to release anything but a heavily redacted twopage report citing an ongoing criminal investigation of the nearly yearold case they released a halfinchthick stack of documents on friday",49,"blacking","night",0.0500000000029104,FALSE,"pm","afternoon","said","many","april","according","high","june","sunday"
"289","Her clothes were puddled on the floor where she had stepped out of them the night before, and on her unmade bed was an open book, ""Dancing in Heaven.""","her clothes were puddled on the floor where she had stepped out of them the night before and on her unmade bed was an open book dancing in",29,"heaven","ned",0.0299999999988358,TRUE,"like","s","stars","brian","heaven","lunge","modeling",NA,NA
"290","Researchers have been on to metformin’s potential as a cancer treatment since at least 2010, according to this Los Angeles Times story.","researchers have been on to metformin’s potential as a cancer treatment since at least according to this los angeles",20,"times","times",0.0199999999967986,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","""We have been playing everybody tough, even though our record wouldn't indicate it,"" Jeffers said. ""Everybody in our league it seems like has 20 wins and we haven't even played 20 games.""","we have been playing everybody tough even though our record wouldnt indicate it jeffers said everybody",17,"in","else",0.0100000000020373,FALSE,"side","league","football","including","tough","style","counting","mad",NA
"292","Signal Peak has 20 days to review its records and schedule a conference with the agency, according to the letter. Then the company must develop a program to correct conditions that led to the citations.","signal peak has days to review its records and schedule a",12,"conference","also",0.0299999999988358,TRUE,"hes","last","conference","bowl","means","lawmakers","stewart","separate","challenged"
"293","""This is a really excellent little street because everyone kind of knows each other,"" Heaps said.","this is a really excellent little",7,"street","bit",0.0299999999988358,TRUE,"time","hard","bird","girl","will","like","people","street","boy"
"294","But with such a long span, there's a great risk the state will discover the unpaid taxes before the next amnesty. ""You could get picked up before that,"" Testa said.","but with such a long span theres a great",10,"risk","deal",0.0200000000040745,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","“But it is the Canton Goodfellows that holds Nancy's heart and soul,” Supervisor Phil LaJoy said, announcing Spencer as the latest Hall of Famer.","“but it is the canton goodfellows that holds nancys heart and soul” supervisor phil lajoy said announcing spencer as the",21,"latest","us",0.0199999999967986,FALSE,"team","restaurant","host","cardinals","no",NA,NA,NA,NA
"296","""Does it make sense economically, morally? No,"" economist Andrew Zimbalist said of the finances of college athletics. ""Is it viable in the long run? No. It's not going to work. Something has to be done.""","does it make",4,"sense","sure",0.0100000000020373,FALSE,"way","percent","best","work","things","difference","chocolate","decisions","easier"
"297","7748 Ahern Av, $21,000","ahern",2,"av","av",0.0199999999967986,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","""He said he was in the lead?"" forward Logan Wiens exclaimed in mock disbelief Monday. ""I don't know about that one.""","he said he was in the lead forward logan wiens exclaimed in mock disbelief monday i dont know",19,"about","if",0.0100000000020373,FALSE,"how",NA,NA,NA,NA,NA,NA,NA,NA
"299","An initiative written by Stanford University professors to scale back California's tough Three Strikes Law has garnered more than 830,000 signatures of support, virtually ensuring the measure will make the November ballot and triggering the state's latest struggle over how harshly criminals should be treated.","an initiative written by stanford university professors to scale back californias tough three strikes law has garnered more than signatures of support virtually ensuring the measure will make the november ballot and triggering the states latest struggle over how harshly criminals should",43,"be","federal",0.0299999999988358,FALSE,"rep","wrote","treated",NA,NA,NA,NA,NA,NA
"300","""Battery capacity, and what we do when the batteries go dim, may be an area where need to shore up,"" said David Lochbaum, a nuclear engineer with the Union of Concerned Scientists, a Washington-based watchdog group.","battery capacity and what we do when the",9,"batteries","economy",0.0200000000040745,FALSE,"rain",NA,NA,NA,NA,NA,NA,NA,NA
"301","""I just don't see how citizens should want to support a budget where their teachers have not wanted to be part of the shared sacrifice,"" Christie said Monday.","i just dont see how citizens should want to support a budget where their",15,"teachers","cuts",0.0299999999988358,FALSE,"deficit","said","also","going","million","didnt","increase","question","everything"
"302","The money is a much-needed cash infusion for the constrained NIH budget, said Dr. Ann C. Bonham, chief scientific officer for the Association of American Medical Colleges, which has been a major advocate for more research funding.","the money is a muchneeded cash infusion for the constrained nih budget said dr ann c bonham chief scientific officer for the association of american medical colleges which has",30,"been","been",0.0199999999967986,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","The New Jersey Board of Public Utilities today plans to discuss how to handle an administrative error that officials believe mistakenly awarded up to $4.5 million in power bill subsidies to low-income residents across the state, according to a report in the Courier Post.","the new jersey board of public utilities today plans to discuss how to handle an administrative error that officials believe mistakenly awarded up to million in power bill subsidies to lowincome residents across the state",36,"according","of",0.0100000000020373,FALSE,"to","will","department","board","is","house","pay","the","in"
"304","Under Jedlicka's leadership, the college also began a track in 2006 for registered nurses with a diploma or an associate's degree in nursing who are also seeking to complete a bachelor of science in nursing.","under",2,"jedlickas",NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","The lone survivor of the slayings, Brittany Mederos, 19, attends youth programs at Vineyard Community, Associate Pastor Danny Mullins said. The church also is close to the Lago Estancia neighborhood where the shootings occurred.","the lone survivor of the slayings brittany mederos attends youth programs at vineyard community associate pastor danny mullins",19,"said","said",0.0299999999988358,TRUE,"lawyer","compensation",NA,NA,NA,NA,NA,NA,NA
"306","""Wrath of the Titans""","wrath of",3,"the",NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","He functions well not only in his capacity as a choral figure within the play but also as a contemporary observer on the nature of theater.","he functions well not only in his capacity as a choral figure",13,"within","will",0.0199999999967986,TRUE,"see","way","charles","help","big","humanity","set","wasnt","within"
"308","Wiegand, who has verbally committed to the University of Tennessee-Martin, then went out and gave up just one run on seven hits, while striking out five and walking one in the 4-1 win over Blue Springs to bring home the title.","wiegand who has verbally committed to the university of tennesseemartin then went out and gave up just one run on seven hits while striking out five",27,"and","years",0.0100000000020373,FALSE,"six","months","first","oil","points","new","hits","last","field"
"309","At some point, your spouse will come to you and say this is a crazy arrangement. Maybe you should part with the truck, the RV and the boat. And do you really need all of those groundskeepers?","at some point your spouse will come to you and say this",13,"is","will",0.0200000000040745,FALSE,"president","billion","yes","said","dont","thats","city","one","fall"
"310","Further compromises are necessary before the Democratic legislation can become law early next year. But the result is likely to be a mandate to provide or buy health insurance, with 31 million more Americans getting coverage. That would mean about 94 percent of legal residents under age 65 would be covered, compared with 83 percent today.","further compromises are necessary before the democratic legislation can become law early next year but the result is likely to be a mandate to provide or buy health insurance with million",32,"more","first",0.0299999999988358,FALSE,"year","million","according","euros","people","tax","jobs","budget","americans"
"311","Daily Cafe at Rejuvenation","daily",2,"cafe","life",0.0299999999988358,TRUE,"just","market","menu","passengers","activities","cafe","star","aspirin","newspapers"
"312","Solon is now 7-3-5 as the Comets have scored 31 goals and allowed only nine.","solon is now as the comets have scored goals and",11,"allowed","on",0.0299999999988358,TRUE,"open","ive","third","made","including","second","allowed","ben","awesome"
"313","Amber Lindsey, who teaches first grade at Cherokee Elementary School.","amber lindsey who",4,"teaches","teaches",0.0500000000029104,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","New York captain Ryan Callahan tied the game at 2-2 with a power-play but the celebrations were short-lived as Ovechkin's slapshot proved decisive.","new york captain ryan callahan tied the",8,"game","game",0.0299999999988358,TRUE,"points","th","score","second","minute","dog","future","strings","eighth"
"315","Outside court, Griem said that he and the Bashara family ""are still just treading water and looking out for sharks. Today was another example of this.""","outside court griem said that",6,"he","the",0.0199999999967986,TRUE,"he","if",NA,NA,NA,NA,NA,NA,NA
"316","But she irritated the teacher she subbed for by rearranging the classroom and throwing out some of the teacher's materials while she was on maternity leave.","but she irritated the teacher she subbed for by rearranging the classroom and throwing",15,"out","four",0.0100000000020373,FALSE,"another","believe","heat","teachers","bases","mids","pitches",NA,NA
"317","""It was a little exciting, but we had to close our game out, had to close out Philly. But I liked it.""","it was a little exciting but we had to close our game out",14,"had","will",0.0299999999988358,FALSE,"thats","make","two","play","thursday","left","knicks","said","season"
"318","410 CARLINVILLE RD $85,000","carlinville",2,"rd","rd",0.0200000000040745,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319","""Players who are in the game have to make responsible decisions. You can't leave your feet, change your mind in the air, just see the defense and not just the offense. There's a time to drive and a time not to.""","players who are in the game have to make responsible decisions you cant leave your feet change your",19,"mind","time",0.0299999999988358,FALSE,"night","make","back","can","hes","bill","days","system","saying"
"320","""But we're still buying Christmas presents for our eight grandchildren,"" said his 75-year-old wife, Maria.","but were still buying christmas presents for our eight grandchildren said his yearold",14,"wife","son",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","Costanzo does a little of everything - producer, bass, keyboard, drums, DJ. Lagemann is the rapper of the group and plays a little guitar. Albrecht is not in the band proper but serves as its creative director.","costanzo does a little of everything producer bass keyboard drums dj lagemann is the rapper of the group and plays a little guitar albrecht is not in the band proper but serves",33,"as","good",0,FALSE,"traditional","needs","egg","creative","narrator","middleman",NA,NA,NA
"322","Across the 80-minute show, Ross wore five gowns (a white-with-gold-accents opener followed by red, blue, pink and gold). The Murat performance lacked an encore rendition of Reach Out and Touch (Somebodys Hand) thats been heard on other tour stops.","across the minute show",5,"ross","will",0.0299999999988358,FALSE,"jersey","like","two","one","first","can","go","available","pm"
"323","An agreement by most European Union members to crack down on overspending will help ensure the current debt crisis isn't repeated, and might help heavily indebted governments to slowly regain market confidence.","an agreement by most european union members to",9,"down","voted",0.0200000000040745,FALSE,"also","us","people","thats","make","two","board","days","likely"
"324","1/4 cup (1/2 stick) unsalted butter, melted","cup stick unsalted butter",5,"melted","meeting",0.0299999999988358,TRUE,"anything","transfer","almond","distaste","foams","melted","skillet","softened","tea"
"325","And Tuesday night, in a little Lorain Avenue restaurant, in the heart of what was once an impenetrable political base, it flamed out.","and tuesday night in a little lorain avenue restaurant in the heart of what was once an impenetrable political base it",22,"flamed","year",0.0199999999967986,FALSE,"get","weve","third","made","heard","salary","several","camp","running"
"326","Tests showed that Breazeal's kidney was a near perfect match for Nelson.","tests showed that breazeals kidney was a near",9,"perfect","us",0.0299999999988358,FALSE,"north","university","home","scott","national","major","football","priest","top"
"327","Previously the Detroit-Paris flights were scheduled to end in August, then start up again next summer.","previously the detroitparis flights were scheduled to end in august then start up",14,"again","left",0.0100000000020373,FALSE,"career","using","year","time","monday","see","center","game","first"
"328","On a free kick in the 21st minute, Beckham deftly chipped a ball into the penalty area that L.A.'s Mike Magee booted across the goal mouth. Rapids defender Marvell Wynne tried to head the ball out of danger but didn't get enough on it, and the ball found the net.","on a free kick in the st minute",9,"beckham","seconds",0.0299999999988358,TRUE,"breaks","show","drive","beckham","break","juventus","sitin",NA,NA
"329","Yet those vague details still don’t bring either character to life, and the mother’s role has been so whittled down (at one point the story included a support group, where she was supposed to meet James Gandolfini) it leaves Bullock with very little to do but cry.","yet those vague details still don’t bring either character to life and the mother’s role has been so whittled down at one point the story included a support group where she was supposed to meet james gandolfini",38,"it","leaves",0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","We saw a baby deer prance in front of us along the trail. A few seconds later, the mother deer came running along.","we saw a baby deer prance in front of us along the trail",14,"a","will",0.0200000000040745,FALSE,"seconds","easy","provides","arizona","far","mitchell","undefeated",NA,NA
"331","Spain has joined seven other euro-zone nations in recession, according to data released Monday, providing new evidence that austerity policies are failing to spark confidence in the region's economies ahead of a week of expected anti-austerity protests and a string of important national elections.","spain has joined seven other eurozone nations in recession according to data released monday providing new",17,"evidence","york",0.0199999999967986,FALSE,"jersey","orleans","law","england","year","jobs","brunswick","high","hope"
"332","Levine is the Tustin Unified School District's 2006 Teacher of the Year and a semifinalist in the 2006-07 Orange County Teachers of the Year program.","levine is the tustin unified school districts teacher of the year and a semifinalist in the orange county",19,"teachers","sheriffs",0.0100000000020373,FALSE,"prosecutors","officials","jail","man","warrant","court","district","executive","board"
"333","3. Serve with crackers or pita triangles.","serve with crackers",4,"or","pita",0.0199999999967986,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","“With some young guys it’s still them understanding the peak. It’s been a hard climb for them just to get back in it,” he said. “I looked at when there were 24 games left I thought, ‘Well, jeez, maybe we’re going to have to win 20.’ So I didn’t even really know how you say there’s a peak or anything. We’ve got to just take it one at a time.”","“with some young guys it’s still them understanding the peak it’s been a hard climb for them just to get back in it” he said “i looked at when there were games left i thought ‘well jeez maybe we’re going to have to win ’ so i didn’t even really know how you say there’s a peak or anything we’ve got",62,"to","two",0.0100000000020373,FALSE,"good","go","percent","best","just","talent","week","know","said"
"335","That hasn't changed in his latest venture: making custom malt blends for homebrewers that are based on professional breweries' recipes.","that hasnt changed in his latest venture making custom malt blends",12,"for","family",0.0199999999967986,FALSE,"sweet","homebrewers","knowhow",NA,NA,NA,NA,NA,NA
"336","Construction spending and pending home sales both fared better than expected in March, and private economists saw the reports as further evidence that the overall economy is stabilizing after its bleakest stretch in a half-century. If so, the economy might be able to mount a recovery in the second half of 2009.","construction spending and pending home sales both fared better than expected in march and private economists saw the reports as further evidence that the overall economy is stabilizing after its bleakest stretch in a halfcentury if so the economy might be able to mount a recovery in the",49,"second","first",0.0300000000061118,TRUE,"third","second","us","last","past","middle","air","world","process"
"337","Even then, the station's commander, Staff Sgt. Shawndelin Hall, recalled thinking, ""He's got a lot of work to do if he wants to make it happen.""","even",2,"then","though",0,FALSE,"less","cooking","worse","know","now","director","come","sure","half"
"338","Harvey, who moved to Hamilton 18 months ago but stresses his fiancee grew up there, and Calabro are campaigning on the popular issue of decrying high property taxes.","harvey who moved to hamilton months ago but stresses his fiancee grew up there",15,"and","like",0.0499999999956344,FALSE,"around","catholic","several","largest","thinking","dallas","calabro","headcounts","kareys"
"339","For Great Lakes fisheries.","for great",3,"lakes","lakes",0,TRUE,"deal","feel","depression","time","thing","game","team","place","assets"
"340","As for ""The Island President,"" viewers will likely find Nasheed a compelling figure, regardless of where they stand on the issue of climate change. Imprisoned and tortured under the Maldives' former dictator, Nasheed led a 20-year democracy movement that culminated with his being elected president in 2008 at age 41.","as for the island president viewers will likely find nasheed a compelling figure regardless of where they stand on the issue of climate change imprisoned and tortured",28,"under","maldives",0.0100000000020373,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","After he arrived in St. Louis several weeks ago, Vescolani quickly started pressing the flesh. He started meeting area leaders in business and science, the center's staff and volunteers, as well as the executives of some other cultural institutions.","after he arrived in",5,"st","was",0.0199999999967986,TRUE,"old","wednesday","pay","st","shut","donnan",NA,NA,NA
"342","But centralization also could allow the state to take a bigger cut of fees, too -- the overriding factor giving municipal officials, and the Ohio Municipal League, big worries.","but centralization also could allow the state to take a bigger cut of fees too the overriding factor giving municipal officials and the ohio municipal league big",28,"worries","ten",0.0100000000020373,FALSE,"us","enough","difference","time","court","day","game","one","oil"
"343","Meanwhile, others worry that Indiana will use its newfound status to poach Michigan companies and jobs, or at least trash-talk Michigan in competition for big projects.","meanwhile",2,"others","will",0.0199999999967986,TRUE,"old","us","others","alex","treasury","doubled",NA,NA,NA
"344","He knew ""The Track Too Tough To Tame"" was going to be difficult. That's why he put it on her Sprint Cup Series schedule. And Stewart would know: In 19 career starts, he's never won at Darlington. It's one of only two active tracks on the schedule where he's yet to visit Victory Lane.","he knew the track too tough to tame was going to be difficult thats why he put it on her sprint cup series schedule and stewart would know in career starts hes never won at darlington its one of only two active tracks",44,"on","schedule",0.0100000000020373,FALSE,"protected","warehouse","greenback",NA,NA,NA,NA,NA,NA
"345","Number of people enrolled: TSA won't disclose","number of people enrolled tsa",6,"wont","better",0.0200000000040745,TRUE,"wont","needs",NA,NA,NA,NA,NA,NA,NA
"346","Asked by ESPN host Rick Reilly what he has left out of his one-man show 'Mike Tyson: Undisputed Truth', he said: ''I didn't talk about getting a prison official pregnant.","asked by",3,"espn",NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","Cervantes said officers often charged inmates with violations they couldn't have witnessed, and at least 80 percent of inmates in the vicinity of major disturbances were found guilty of something.","cervantes said",3,"officers","statement",0.0100000000020373,FALSE,"will","monday","thats","many","weve","think","one","state","hes"
"348","Is it possible to check receipts and donate the difference to the Pacifica Resource Center (http://www.pacresourcecenter.org/)? In Pacifica, we already know Safeway has a big heart for they are so often at the starting line to help those in need.","is it possible to check receipts and donate the difference to the pacifica resource center wwwpacresourcecenterorg in pacifica we already know safeway has",24,"a","big",0.0299999999988358,FALSE,"creamed",NA,NA,NA,NA,NA,NA,NA,NA
"349","In addition, he said, storing a driver’s information in a database increases the potential for identity fraud.","in addition he said storing a",7,"driver’s","large",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350","If convicted on the top bias charges, Ravi faces up to 10 years in prison.","if convicted on the top bias charges",8,"ravi","said",0.0200000000040745,FALSE,"want","park","last","released","according","treatment","part","taking","passengers"
"351","COLUMBUS, Ohio -- The growing cost of caring for Ohio's aging highways is cutting into money for badly needed projects across the state, including the second Inner Belt Bridge, ODOT officials say.","columbus ohio",3,"the","state",0.0199999999967986,FALSE,"will","states","president","board","judge","sales","billion","started","citizens"
"352","Arby Little Soldier, who owns the ranch near the North Texas town of Greenville where the calf was killed nearly two weeks ago, says he's excited about the 3,000-pound gift.","arby little soldier who owns the ranch near the north texas town of greenville where the calf was killed nearly two weeks ago says hes excited about the",29,"pound","issue",0.0100000000020373,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","In between, Rouse retired from the Rouse Company in the 1980s to devote time to a nonprofit foundation, and he died in 1996. The Rouse Company was acquired in 2004 by General Growth Properties, which later split into General Growth and the Howard Hughes Corp.","in between rouse retired from the rouse company in the s to devote time to a nonprofit foundation and he died in the rouse company was acquired in by general growth properties which later split into general growth and the howard",42,"hughes","week",0.0299999999988358,TRUE,"county","playing","michigan","moe","alas","hughes",NA,NA,NA
"354","When you look at the internal data on international tests you find a telling dichotomy regarding American scores. America has a disproportional number of students doing very, very well and a large portion doing poorly. The Organization for Economic Co-operation and Development, which administers the PISA test, explains this dichotomy: the number of children in poverty. Twenty-two percent of American children live in mind-numbing poverty, which is far greater than the next highest country. Children do not learn well when they are hungry.","when you look at the internal data on international tests you find a telling dichotomy regarding american scores america has a disproportional number of students doing very very well and a large portion doing poorly the organization for economic cooperation and development which administers the pisa test explains this",50,"dichotomy","back",0.0199999999967986,TRUE,"area","never","restaurant","science","dichotomy","lingering",NA,NA,NA
"355","It is unclear how well state officials abided by those orders. A check of records for 2010 — Perdue’s last year in office —found numerous lobbyist gifts received by executive branch officials.","it is unclear how well state officials abided by those orders a check of records for — perdue’s last year in office —found numerous lobbyist gifts",27,"received","others",0.0299999999988358,TRUE,"example","received","contractors","latter","pumper","reimbursements",NA,NA,NA
"356","""We started this event because not enough people know where Serbia is and what the culture is,"" said event organizer Jennifer Zelen. ""The Serbs have a long history of music and food and really great folk dances.""","we started this event because not enough people know where serbia is and what the culture",17,"is","said",0.0100000000020373,FALSE,"become","directly","hazing","frc","mozeliak","palpable","super","tens",NA
"357","""In trying to look at impacts to wildlife, you first have to look at what could happen to habitats,"" said Gil McRae, director of Florida's Fish and Wildlife Research Institute.","in trying to look at impacts to wildlife you first have",12,"to","time",0.0200000000040745,FALSE,"four","two","half","place","year","team","round","season","game"
"358","By then, it was 12:35 a.m.","by",2,"then",NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","For 3D: Top Picks/Holiday Films & More/3D Specials","for d top picksholiday films mored",7,"specials","specials",0.0100000000020373,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360","516 LESLIE AVE $28,000","leslie",2,"ave","ave",0.0199999999967986,TRUE,"keno",NA,NA,NA,NA,NA,NA,NA,NA
"361","According to police, the suspect allegedly took car keys and a wallet Oct. 4 from a medical office on Millburn Avenue and later got his hands on the Camry for which the keys were issued. The Camry was owned by an employee of the medical practice and parked in its lot, police said; the credit cards were also issued in the employee’s name.","according to police the suspect allegedly took car keys and a wallet oct from a medical office on millburn avenue and later got his hands on the",28,"camry","road",0.0100000000020373,FALSE,"ballot","floor","other","street","way","side","new","field","right"
"362","Officials thought the man had fallen into the river after being struck, but first responders found the man dead on the trestle.","officials thought the man had fallen into the",9,"river","game",0.0199999999967986,FALSE,"second","citys",NA,NA,NA,NA,NA,NA,NA
"363","Another co-worker, Cindy Backer of High Ridge, Mo., nominated the four alert security officers.","another",2,"coworker","chance",0.0100000000020373,FALSE,"year","example","major","strong","time","get","district","city","one"
"364","West Midlands Police said a 55-year-old and a 61-year-old were detained Friday in Birmingham, central England, on suspicion of offenses under the country's 2003 Female Genital Mutilation Act.","west midlands police said a yearold and a yearold were detained friday in birmingham central",16,"england","bank",0.0400000000008731,TRUE,"jersey","said","states","thats","government","new","coach","england","high"
"365","“As for yesterday’s flag placement, I did my two-hour shift and stayed longer to help out , then went back in the afternoon to help some more and break things down and store them for the night.","“as for yesterday’s flag placement i did my twohour shift and stayed longer to",15,"help","sure",0.0100000000020373,TRUE,"help","days","travel","technology","deal","consider","life","real","girl"
"366","Even though I have visited the Twin Towers site in New York, the horror of the attack on innocent human life still remains hard to accept.","even though i have visited the twin towers site",10,"in","first",0.0299999999988358,FALSE,"also","game","games","can","new","just","run","may","sense"
"367"," Sacramento County, which owns and manages the American River Parkway, is looking to zero-out funding and unload management of its entire regional parks system.","� sacramento county which owns and manages the",9,"american","billion",0.0299999999988358,TRUE,"service","american","plan","live",NA,NA,NA,NA,NA
"368","2005 ... Sept. 18 ... Denver 20, San Diego 17","sept denver san",4,"diego","francisco",0.0199999999967986,TRUE,"diego","antonio","jose","bruno","franciscos","pedro","andreas","diegan","diegobased"
"369","""If the A's were so willing to sign Ramirez, why didn't they take a flier on Barry Bonds? How awesome would it have been if Bonds suited up in green and gold and played a pigeon's journey from McCovey Cove? In 2008 and 2009, he would have been at least as good as Ramirez is now. Heck, who's to say Bonds, at 47, isn't still a better hitter? Plus, he's not suspended.""","if the as were so willing to sign ramirez why didnt they take a flier on barry bonds",19,"how","also",0.0100000000020373,FALSE,"guilty","isnt","awesome","contention","entering","homeloan","resulted","suited","yields"
"370","“It’s up to the Taliban, and other adversaries of the new order in Afghanistan, whether they will reconcile with it or be part of it, or whether they will continue to fight,” Crocker told journalists in Kabul on Thursday.","“it’s up to the taliban and other adversaries of the new order in afghanistan whether they will reconcile with it or be part of it or whether they",29,"will","will",0.0199999999967986,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","""I'm excited about being a part of his defense, and I’m excited about him coaching me and me becoming great,"" Coples said of Ryan.","im excited about being a part of his defense and i’m excited about him coaching me",17,"and","staff",0.0299999999988358,FALSE,"legend","style","becoming",NA,NA,NA,NA,NA,NA
"372","""Trayvon was our brother,"" Pendas said. ""He lives within everyone of us.""","trayvon was our",4,"brother","martin",0.0100000000020373,TRUE,"brother","martins",NA,NA,NA,NA,NA,NA,NA
"373","The fourth annual event is structured to guarantee deliveries by Christmas Eve.","the fourth annual event",5,"is","is",0.0199999999967986,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","The encampment consisted of 14 tents and 17 occupants and had settled in front of Doe Library after previously taking up space in front of Sproul Hall, the campus administration building. The campers were left alone for several days until Friday's 5 a.m. action.","the encampment consisted of tents and occupants and had settled in front of doe library after previously taking up space",21,"in","school",0,FALSE,"line","mountain","made","public","average","guys","front","theres","lower"
"375","""You don't want that sick feeling of not coming out on top,"" she said.","you",2,"dont",NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
