"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","prediction9","prediction10","timeToPredict","Correct"
"4550","""It's all good stuff and frankly, it'll accrue to his benefit and help him get re-elected,"" Kasich said at a news conference in Columbus where he introduced his pick to lead the Ohio Department of Taxation.","its all good",4,"stuff","for","to","and","at","thing","news","time","beer","idea","friend",0.0300000000006548,FALSE
"4551","Conroy and Waite had also lost a three-setter in the semifinals as they fell to Joseph Monaldo and John Segfreid of Rockhurtst, 6-4, 2-6, 6-2.","conroy and waite had also lost a threesetter in the semifinals as they fell to",16,"joseph","th","to","keep","when","over","off","into","percent","points","nd",0.0299999999988358,FALSE
"4552","--Protect against Alzheimer's. Some statins -- particularly Crestor and Lipitor (atorvastatin) -- could cut your risk by 60 percent.","protect against alzheimers some statins particularly crestor and lipitor",10,"atorvastatin","the","then","it","that","we","in","he","they","is","you",0.0300000000006548,FALSE
"4553","Romney also said later that an unemployment rate above 4% was ""not cause for celebration."" The rate has only been that low in 11 months since January 1970 -- all at the tail end of the Clinton administration.","romney also said later that an unemployment rate above was not cause for celebration the rate has only been that low",22,"in","the","is","you","he","we","it","was","they","there","are",0.0200000000004366,FALSE
"4554","""I just tried to stay as relaxed as possible and conserve as much energy as possible,"" he said. ""I knew it was going to be tough, especially the last 400.""","i just tried to stay as relaxed as possible and conserve as much energy as possible he",18,"said","to","that","when","not","he","you","they","some","for","big",0.0299999999988358,FALSE
"4555","""Cherries?"" I said.","cherries i",3,"said","was","have","am","had","think","can","know","would","love","will",0.0300000000006548,FALSE
"4556","'Step Pump'","step",2,"pump","up","forward","is","on","out","be","of","to","it","and",0.0499999999992724,FALSE
"4557","I gave him a couple of pointers. He had to do some off-balance moves, so I was just trying to help him with the balance part so he wouldn't hurt himself.","i gave him a couple of pointers he had to",11,"do","to","been","the","no","my","not","never","one","an","so",0.0300000000006548,FALSE
"4558","But James Harrison of the Pittsburgh Steelers, a linebacker who was suspended for a game last season after an illegal hit on Browns quarterback Colt McCoy, tweeted that the penalties were “ridiculous” and suggested that Goodell’s crackdown is motivated by the concussion lawsuits and a desire to increase the regular season to 18 games.","but james harrison of the pittsburgh steelers a linebacker who was suspended for a game last season after an illegal hit on browns quarterback colt mccoy tweeted that the penalties were “ridiculous” and suggested that goodell’s crackdown",38,"is","the","is","you","he","we","it","was","they","there","are",0.0100000000002183,TRUE
"4559","Summit participants also will take up the challenges facing community colleges, such as funding cuts at a time of record enrollment, and propose action plans in response, Sygielski said.","summit participants also will take up the challenges facing community colleges such as funding cuts at a time of record enrollment and propose action plans in response sygielski",29,"said","to","the","be","was","we","there","from","yes","sometimes","sections",0.00999999999839929,FALSE
"4560","Officers surrounded the building and called in the SWAT team, which searched the building but didn't find the suspect.","officers surrounded the building and called in the swat",10,"team","same","first","most","world","time","other","way","end","last","best",0.0400000000008731,FALSE
"4561","Transfer of ownership is the final step in the demise of a franchise that's played in Portland with few interruptions since 1903. The team's fate was set last year when proposals to construct a baseball-only stadium in Portland and Beaverton fell through and the Portland Timbers soccer team, which Paulson also owns, was granted entry into Major League Soccer. That move required PGE Park, the home for both teams, to be renovated into a soccer/football-only venue.","transfer of ownership is the final step in the demise of a franchise thats played in portland with few interruptions since the teams fate",25,"was","are","the","of","can","were","and","they","with","need","but",0.0300000000006548,FALSE
"4562","Get the lowdown on a park near you.","get the lowdown",4,"on","same","first","most","world","time","other","way","end","last","best",0.0100000000002183,FALSE
"4563","""God forbid, there will be parking along these narrow service roads, causing additional accidents from people all looking to get on the West rail,"" said Cici Kesler, president of Association & Community Management, which manages homeowner groups in the metro area.","god forbid there",4,"will","is","are","was","were","and","will","it","in","would","for",0.0299999999988358,TRUE
"4564","(On if McCoy will be around for minicamps):","on if mccoy will be around",7,"for","the","able","in","an","to","so","good","one","on","allowed",0.0300000000006548,FALSE
"4565","""Trail of the Spellmans"" is narrated by Isabel. The book sets the family off on a series of minor-league cases - an unfaithful spouse, a misbehaving daughter and so on - that seem unrelated but gradually prove otherwise.","trail of the spellmans is narrated by isabel the book sets the family off on a series of minorleague cases an unfaithful spouse a misbehaving daughter",27,"and","few","little","lot","bit","good","new","great","couple","long","very",0.0399999999990541,FALSE
"4566","Like a brother, Harbaugh plays along with them, showing YouTube videos about a honey badger on repeat. Like a gristled grandparent, he reminds them how much fun the other teams are having — in this case, the Seahawks went go-kart riding during a day of training camp — and how only hard work will make them better.","like a brother harbaugh plays along with them showing youtube videos about a honey badger on repeat like a gristled grandparent he reminds them how much fun the other teams are having — in this case the seahawks went gokart riding during a day of",46,"training","new","change","kind","few","story","nice","chance","problem","thousand","computer",0.0300000000006548,FALSE
"4567","The school district keeps separate compilations of incidents and suspensions. A comparison of the data for 2009-10 reveals inconsistences, raising questions about how accurately information is reported.","the school district keeps separate compilations",7,"of","the","and","but","pan","says","download","jars","corinthians",NA,NA,0.0300000000006548,FALSE
"4568","Indiana has an estimated 3,600 homeless veterans, said Debra Des Vignes, an HVAF spokeswoman. Nationally, there are an estimated 200,000 homeless veterans.","indiana has an estimated homeless veterans said debra",9,"des","that","to","it","the","he","in","they","this","so","unto",0.0299999999988358,FALSE
"4569","After Paul Goldschmidt shot a game-tying, two-run double into right-center, Ransom gave his team the lead by lining a full-count slider from former Diamondbacks reliever Jon Rauch into left field for a hit.","after paul goldschmidt shot a gametying tworun double into rightcenter ransom gave",13,"his",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"4570","Use the zoom tool on this interactive map to see district borders in detail, including right down to the street level. Click on areas of the map for each district number.","use the zoom tool on this interactive",8,"map","is","one","was","week","time","year","blog","morning","post","will",0.0300000000006548,FALSE
"4571","She said that she would forgive me and that she would like to remain friends.","she said that she",5,"would","the","is","you","he","we","it","was","they","there","are",0.0399999999990541,FALSE
"4572","""People should not be able to stop you just because you're tan and have dark skin color, dark eyes, dark hair,"" she said, ""just because you look Mexican.""","people should not be able to stop you just because youre tan and have dark skin color dark eyes dark hair she",23,"said","and","it","felt","got","in","rest","out","from","up","over",0.0200000000004366,FALSE
"4573","herbal-infused steam; experiential rain showers; and a classic Finnish sauna illuminated by refracted crystal light. Then there is the “Wave Room”: a domed firmament reflecting calm water movements in the form of waves breaking overhead. In the Salt Grotto, heated benches, floors, walls and corner niches are","herbalinfused steam experiential rain showers and a classic finnish sauna illuminated by refracted crystal light then there is",19,"the","any","is","are","was","were","and","will","it","in","would",0.0499999999992724,FALSE
"4574","However, immigrant advocates said new laws should provide more ways for those without documents to stay in the country legally. Prosecutorial discretion has been applied unevenly, they said, and cases can be decided by a simple thumbs up or thumbs down from ICE.","however immigrant advocates said new laws should provide more ways for those without documents to stay in",18,"the","the","on","in","with","home","here","tuned","at","long","put",0.0300000000006548,TRUE
"4575","June 23: Swiss steak with diced tomato sauce, noodles, carrots, broccoli, pineapple tidbits.","june swiss steak with",5,"diced","with","now","night","ill",NA,NA,NA,NA,NA,NA,0.0200000000004366,FALSE
"4576","""In his second year if the team is terrible, I'm not sure,"" said Fratello, who understandably didn't want to speak for the networks.","in his second year if",6,"the","and","old","of","that","ago","we","for","is","the","to",0.0299999999988358,TRUE
"4577","""My situation right now is very dangerous,"" Chen told The Associated Press early Friday. On Thursday, he dialed into a congressional hearing to make a direct appeal for Clinton's help.","my situation right now is very dangerous chen told",10,"the","to","for","way","and","as","road","job","ground","community","response",0.0300000000006548,FALSE
"4578","Foster rushed for 153 yards and two touchdowns in the Wild Card win against the Bengals.","foster rushed for yards and two touchdowns in the",10,"wild","the","my","this","his","our","an","their","your","that","order",0.0300000000006548,FALSE
"4579","K Jonathan Harris, sr., Hazelwood Central","k",2,"jonathan","this","new","and","through","brown","decides","holmberg","kurppa","massie",NA,0.0199999999986176,FALSE
"4580","Despite these recent fundraising successes, Romney has raised a lot more money than his competitors over the course of the campaign. In contrast, Santorum raised little money in Ohio until January.","despite these recent fundraising successes romney has raised a lot more money",13,"than","than","of","and","to","time","about","like","likely","often","so",0.0100000000002183,TRUE
"4581","""We want to keep our structural costs manageable. We need to do that,"" GM Chairman and CEO Dan Akerson said during a speech to suppliers, analysts and reporters Tuesday at the Automotive News World Congress conference. ""We don't want debt on our balance sheet. When you look at the cyclicality of this market, we need to invest in up-cycle and down-cycle. We can't take on debt during an up-cycle.""","we want to keep our structural costs manageable we need to do that gm chairman and ceo dan akerson said during a speech to suppliers analysts and reporters tuesday at the automotive news world congress conference we dont want debt on our balance sheet when you look at the cyclicality of this market we need to",57,"invest","to","for","the","of","you","some","them","be","is","it",0.0300000000006548,FALSE
"4582","As part of Tebow's $11.25 million, five-year contract he signed as a rookie in 2010, he had a $6.277 million advance due 29 days after the start of the 2011 league year. That money was paid to him in August after the NFL lockout ended. The trade stalled over the payment the Jets would owe the Broncos from that advance.","as part of tebows million fiveyear contract he signed",10,"as","was","is","had","has","said","would","could","will","did","wanted",0.0399999999990541,FALSE
"4583","“Now those people might now be able to have a complete meal,” Miller added.","“now those people might now be able to",9,"have","get","do",NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000002183,FALSE
"4584","""Things are up in the air,"" the People source said. ""Kim very much wants to take her time and be single and heal from her divorce.""","things are up in the air the people source said kim very much wants to take",17,"her","the","be","do","get","make","see","have","go","me","my",0.0300000000006548,FALSE
"4585","May 04, 2012 06:26 PM EDT","may",2,"pm","be","have","not","as","you","and","just","also","th","or",0.0499999999992724,FALSE
"4586","Brian Landry, the Galatoire's chef who was recently hired as the chef for the Louisiana Seafood Promotion and Marketing Board, said he can look at his invoices and see not only that he purchased 20 pounds of drum and at what price.","brian landry the galatoires chef who was recently hired as the chef for the louisiana seafood promotion and marketing board said he",23,"can","it","he","that","to","it","the","he","in","they","this",0.0500000000010914,FALSE
"4587","Frayman, 74, of Beachwood, joined Copley Township Democratic Rep. Betty Sutton in the Capitol Rotunda to light one of six ceremonial candles representing the 6 million Jews killed by Nazi Germany.","frayman of beachwood joined copley township democratic rep betty sutton in the capitol rotunda to light one of six ceremonial candles representing the million jews killed by",28,"germany","in","me","she","on","when","him","osama","feloniously",NA,NA,0.0100000000002183,FALSE
"4588","But when it comes to the market for premium space, the universe covered in the Jones Lang report, conditions are different. Vacancies are declining, rents are rising and choices of prime offices have become more limited.","but when it comes to",6,"the","that","she","to","from","as","out","in","up","next","with",0.0100000000002183,FALSE
"4589","The indictment of Swiss private bank Wegelin & Co., founded in 1741, marks the first time U.S. authorities have charged a bank rather than individuals with helping Americans evade taxes.","the indictment of swiss private bank wegelin co founded in marks the first time us authorities have",18,"charged","to","this","and","tried","came",NA,NA,NA,NA,NA,0.0300000000006548,FALSE
"4590","For someone like Roemer, who watched the park grow from infancy, Six Flags memories are about more than the biggest, tallest, fastest and most breathtaking rides.","for someone like roemer who watched the park grow from infancy six flags memories are about more than the",20,"biggest","the","to","that","it","most","just","they","anything","not","one",0.0399999999990541,FALSE
"4591","Behold the animal known as township government, one of the most enduring species on the planet.","behold the animal known",5,"as","welfare","had","park","kingdom","hygiene","shelterjust",NA,NA,NA,NA,0.0100000000002183,FALSE
"4592","He listed teaching jobs in Honduras, Costa Rica, South Korea and the Netherlands.","he listed teaching jobs in honduras costa rica south korea and the",13,"netherlands","the","then","it","that","we","in","he","they","is","you",0.0200000000004366,FALSE
"4593","Baldelli, who had only rejoined the Rays in late August due to the latest bout with his unusual illness, had never done anything against Lester. He had struck out in his three regular-season at-bats, was 0-for-2 (with another strikeout) in Lester's Game 3 start, and struck out his first time in Game 7 for a career mark of 0-for-6 with five strikeouts.","baldelli who had only rejoined the rays in late august due to the latest bout with his unusual illness had never done anything against lester he had struck out in his three regularseason atbats was for with another strikeout in lesters game start and struck out his first time in game for a career mark of",57,"for","on","my","it","this","in","has","but","for","here","office",0.0100000000002183,TRUE
"4594","The lead investigator recommended that Wal-Mart expand the investigation.","the lead",3,"investigator","to","the","you","me","on","myself","female","rigor","sculptures",NA,0.0299999999988358,FALSE
"4595","Saturday, 36, was a key part of the equation in the Colts' frenetic attack. As Manning made play calls at the line of scrimmage, it was Saturday who made the line calls to keep the protection schemes in line. Saturday made $2.4 million last season, the last year of a three-year contract worth $13.3 million. He likely would be open to considering Denver but would not play for the veteran minimum.","saturday was a key part of the equation in the colts frenetic attack as manning made play calls at the line of scrimmage it was saturday who made the line calls to keep the protection schemes in line saturday made million last season the last year of a threeyear contract worth",52,"million","with","for","was","and","any","or","report","documents","terminology",NA,0.0200000000004366,FALSE
"4596","Siva Kaneswaren, Tom Parker, Max George, Jay McGuiness and Nathan Sykes claimed the star's management asked them to face a wall while she emerged from her dressing room.","siva kaneswaren tom parker max george jay mcguiness and nathan sykes claimed the stars management asked them to face a wall while",23,"she","street","is","of","to","this","and","just","at","which","but",0.0300000000006548,FALSE
"4597","(510) 653-3902 or commisrestaurant.com","or",2,"commisrestaurantcom","the","not","even","so","two","to","maybe","something","anything","if",0.0300000000006548,FALSE
"4598","The truth is, no law could have brought any of the planes back to the gate any faster in Hartford. What's more, because tarmac delays represent such an infinitesimally small problem for air travelers, the disproportionately lengthy discussion we've had about them in the past several years - including the one we're having right now - has diverted public attention from the truly important issues that affect all airline passengers.","the truth is no law could have brought any of the planes back to the gate any faster in hartford whats more because tarmac delays represent such an infinitesimally small problem for air travelers the disproportionately lengthy discussion weve had about them in the past several years including the one were having right now has diverted public",58,"attention","been","to","the","not","become","an","also","made","done","taken",0.0299999999988358,FALSE
"4599","A school choice advocate says he's preparing to open three charter schools in the unaccredited Riverview Gardens School District and possibly two in St. Charles County if legislation passes allowing for charter school expansion in Missouri.","a school choice advocate says hes preparing to open three charter schools in the unaccredited riverview gardens school district and possibly two in st charles county if legislation passes",30,"allowing","that","is","has","should","policy",NA,NA,NA,NA,NA,0.0300000000006548,FALSE
"4600","Not the buffalo, but another prairie population, the Pawnee tribe of American Indians, inspired the name for Maddux's dessert wine, his Pawnee Tawny.","not the buffalo but another prairie population the pawnee tribe of american indians inspired the name",17,"for","same","first","most","world","time","other","way","end","last","best",0.0399999999990541,FALSE
"4601","""Right now, we literally are just putting together a team of consultants, to look at the record and talk to the city,"" Malkoff said. ""We're trying to see what we can do to get this out of the ground so everyone benefits.""","right now we literally are just putting",8,"together","as","to","like","have","the","about","for","in","had","not",0.0300000000006548,FALSE
"4602","Clowns: The Portland Rose Festival is recruiting clowns for the ""Clown Corps"" who perform in the Rose Festival Parade. Auditions March 16-17. 503-227-2681 or www.rosefestival.org.","clowns the portland rose festival is recruiting clowns for the",11,"clown","the","me","my","this","you","all","us","it","an","their",0.0300000000006548,FALSE
"4603","Julia said she was nervous during the meeting, but also excited to talk with staff of the magazine that she and her friends read. She said Shoket was positive and promised to keep in touch with her about the issue.","julia said she was nervous during the meeting but also excited to talk with staff of the magazine that she and her friends read she said shoket was positive and promised",32,"to","the","then","it","that","we","in","he","they","is","you",0.0299999999988358,FALSE
"4604","I experimented around and tried it in turbocharged Screwdriver: one part 4 Orange, two parts orange juice, and one part Diet Sprite. Ahhhh! The perfect summer drink. And I mixed a Bloody Mary with it, just for heck of it all. Don't cringe at mixing oranges with tomatoes because the two flavors marry as marvelously as Kate and William (no last names needed).","i experimented around and tried it in turbocharged screwdriver one part orange two parts orange juice and one part diet sprite ahhhh the perfect summer drink and i mixed a bloody mary with it just for heck of it all dont",42,"cringe","the","of","that","over","my","have","this","day","those","about",0.0300000000006548,FALSE
"4605","King used a technique called the ""ACL Tightrope.""","king",2,"used","of","salmon","to","this","he","and","at","as","now","for",0,FALSE
"4606","HARRISBURG, Pa.  Prosecutors didnt have all the facts before filing charges against two administrators in the Penn State sex abuse case, lawyers for the men said after the attorney generals office changed the date of a key allegation that former assistant football coach Jerry Sandusky sexually assaulted a boy in a locker room shower.","harrisburg pa � prosecutors didn�t have all the facts before filing charges against two administrators in the penn state abuse case lawyers for",24,"the","were","each","added","representing","practicing","academics",NA,NA,NA,NA,0.0300000000006548,FALSE
"4607","1 1/2 cups of candy toppings (such as small jelly beans, Easter candy sprinkles, candy-coated chocolate eggs)","cups of candy toppings such as small jelly beans easter candy sprinkles candycoated chocolate",15,"eggs","do","on","cupcakes",NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"4608","During my time in Washington, the quantity of information has increased, but its quality has decreased. The explosion of advocacy organizations, interest groups and ""think tanks"" -- along with the growth of cable television and the Internet -- has bloated the supply of studies, factoids, sound bites and blog posts. The decline in quality reflects the polarization of political elites, of both left and right. More raw information flows through political or philosophical filters which screen out facts and arguments that do not fit the approved viewpoint or advance ""the cause.""","during my time in washington the quantity of information has increased but its quality has decreased the explosion of advocacy organizations interest groups and think tanks along with",29,"the","with","the","and","for","is","to","that","her","at","one",0.0200000000004366,TRUE
"4609","Between those two business stops, Christie said he would be vacationing with his family at ""an undisclosed location."" His office refused to provide any details.","between",2,"those","the","and","these","my","what","his","them","an","each","both",0.0300000000006548,FALSE
"4610","NASA spokesman Kyle Herring said the mission management teams probably will wait until at least Friday before setting a firm launch date.","nasa spokesman kyle herring said the mission",8,"management","same","first","most","world","time","other","way","end","last","best",0.0299999999988358,FALSE
"4611","An Illinois House committee investigating allegations against a Chicago Democrat charged with bribery has postponed a hearing because of the possibility of more court action against him.","an illinois house committee investigating allegations against a chicago democrat charged with bribery has postponed a hearing because of the possibility of more",24,"court","the","my","it","the","my","this","course","his","it","her",0.0500000000010914,FALSE
"4612","Executive producer Gerard Butler, perhaps with his own sights set on awards recognition, gamely gives it a go as Sam Childers, a scary drug dealer who somehow sees the light after numerous run-ins with the law and eventually starts fighting truly violent men in Sudan. Honest!","executive producer gerard butler perhaps with his own sights set on awards recognition gamely gives it a go as sam childers a scary drug dealer who somehow sees the light after numerous runins with the law and eventually",39,"starts","the","then","it","that","we","in","he","they","is","you",0.0299999999988358,FALSE
"4613","2. Cachiyacuy contamanensis - Cachiyacuy is a contraction of Cachiyacu, the name of a river where the particular fossils were found, and cuy, the name for guinea pig in the language of the people of the central Andes.","cachiyacuy contamanensis cachiyacuy is a contraction of cachiyacu the name of a river where the particular fossils were found and cuy the name for guinea pig",27,"in","pigs","fowl","pig",NA,NA,NA,NA,NA,NA,NA,0.0600000000013097,FALSE
"4614","Mourners wearing hats and T-shirts with Sandinista logos waited in snaking lines up marble stairs to the second floor of the National Palace of Culture where Borge's casket was surrounded with dozens of floral arrangement while revolutionary music blared in the plaza outside.","mourners wearing hats and tshirts with sandinista logos waited in snaking lines up marble stairs to the second floor of the",22,"national","diamonds","the","my","this","course","his","it","her","our","them",0.0199999999986176,FALSE
"4615","“All you have do is look around the league to really appreciate how tough the playoffs are,” coach Pete DeBoer said. “Look at the quality of some of the teams that are sitting on the sidelines right now.","“all you have do is look around the league to really appreciate how tough the playoffs are” coach pete deboer said “look at the quality of",27,"some","the",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0300000000006548,FALSE
"4616","Don in Oakville: ""Brian Elliott just turned back into Brian Elliott.""","don in oakville brian elliott just turned back into brian",11,"elliott","the","my","this","his","their","place","it","something","her","our",0.0300000000006548,FALSE
"4617","“The Boston Herald is more popular than ever — 2.6 million unique visitors to our website and 1.3 million reading the print edition each month — demonstrating once again that our readers are committed to our newsgathering operation and to our editorial voice,” said Herald Media President and Publisher Patrick J. Purcell.","“the boston herald is more popular than ever — million unique visitors to our website and million reading the print edition each month — demonstrating once again that our readers",31,"are","own","lives","first","little","family","world","way","hearts","new","favorite",0.0199999999986176,FALSE
"4618","Two council members took issue with the lack of information and the fact that staff will see a draft before a final report is publicly aired. ""We initiated this, so I'd rather have the benefit of reviewing it before staff gets it,"" District 6 Councilman Skip Hall said.","two council members took issue with the lack of information and the fact that staff will see a draft",20,"before","few","little","lot","bit","good","new","great","couple","long","very",0.0300000000006548,FALSE
"4619","Prosecutors will not file any charges in the Long Beach case of 10-year-old Joanna Ramos, who died hours after a fight with another elementary school student, the Los Angeles County district attorney's office announced Wednesday.","prosecutors will not file any charges in the long beach case of yearold joanna ramos who died hours after a fight with another elementary",25,"school","one","day","and","the","world","time","great","post","man","person",0.0300000000006548,FALSE
"4620","Cole was planning to enter the Police Academy in January with the intent of becoming an officer, a police source said.","cole was planning to enter the police academy in january with the intent of becoming an officer a police source",21,"said","the","are","he","fire","report","have","will","were","that","has",0.0299999999988358,FALSE
"4621","4 thin veal cutlets (about 2 ounces each)","thin",2,"veal","and","side","by","belief","wow","tan","flexible","slicepizza",NA,NA,0.0200000000004366,FALSE
"4622","Jilla Sardashti, who taught last year at Parmelee Avenue Elementary School in the Florence-Firestone neighborhood, said she teaches critical thinking skills from the first day of school.","jilla sardashti who taught last year at parmelee avenue elementary school in the florencefirestone neighborhood said",17,"she","of","to","the","know","at","kids","like","on","parents","boys",0.0100000000002183,FALSE
"4623","As Christie himself has said: ""As a party, it is put up or shut up time.""","as christie himself has said as",7,"a","that","to","it","the","he","in","they","this","so","unto",0.0300000000006548,FALSE
"4624","In 2012, this kind of diversity has become the default. When you ask Los Angeles chefs about their favorite restaurants today, they are far more likely to mention Jitlada, Guelaguetza and Din Tai Fung than they are Spago or Mélisse, and they tend to be at least as excited about yuzu zest and kalamansi lime as they are about lobster and truffles. At least as many food people this year have been talking about the move of Mexicali Taco & Co. from a truck to an Angeleno Heights storefront as have been talking about Wolfgang Puck's splendid new restaurant at Hotel Bel-Air.","in this kind of diversity has become the default when you ask los angeles chefs about their favorite restaurants today they are far more likely to mention jitlada guelaguetza and din tai fung than they are spago or m�lisse and they tend to be at least as excited about",50,"yuzu","to","about","for","and","me","he","that","at","as","your",0.0299999999988358,FALSE
"4625","KTVZ reports that 28-year-old Erik Mackenzie Conn was booked Monday into county jail and held on a $150,000 bail. Authorities say Conn was texting two minutes before the crash. Witnesses told police Conn was speeding.","ktvz reports that yearold erik mackenzie conn was booked monday into county jail and held on a bail authorities",20,"say","few","little","lot","bit","good","new","great","couple","long","very",0.0300000000006548,FALSE
"4626","Dropbox, a provider of online storage, is partnering with Samsung Electronics to preload its application on smart phones and tablets running Google's Android operating system.","dropbox a provider of online storage is partnering",9,"with","the","not","that","to","an","in","very","no","one","going",0.069999999999709,FALSE
"4627","But first, we have the case of The Activist, the Cop and the Mysteriously Vanishing Video.","but",2,"first","the","it","they","he","we","not","this","my","in","also",0.0100000000002183,FALSE
"4628","Some say such varying rates can distort the economy by diverting investment into some industries and away from others that might pack a bigger economic punch.","some say such varying rates can distort the economy by diverting investment into some industries and away",18,"from","the","then","it","that","we","in","he","they","is","you",0.0299999999988358,FALSE
"4629","Assemblyman Joseph Cryan (D-Union) is announcing a bill today that would allow towns to raise property taxes outside the new 2 percent cap to pay police officers, firefighters and emergency workers. He said the bill would allow local leaders to ""put a value on public safety.""","assemblyman joseph cryan dunion is announcing a bill today that would allow towns",14,"to","me","the","you","us","them","for","bulk","plus","criticism","downloading",0.0400000000008731,FALSE
"4630","Though his time at Minnesota had its share of problems (he was suspended twice last season at Minnesota by coach Tubby Smith for a total of seven games before leaving), Joseph’s experience should help a Ducks squad still searching for a leader and someone who won’t turn the ball over so much. Joseph averaged 11.2 points and 3.5 assists in eight games last year for the Gophers, and has played in the NCAA tournament.","though his time at minnesota had its share of problems he was suspended twice last season at minnesota by coach tubby smith for a total of seven games before leaving joseph’s experience should help a ducks squad still searching for a leader and someone who won’t turn the ball over so much joseph averaged points and assists in eight games last year for the gophers and has played in",70,"the","on","for","that","and","his","in","with","by","wish","america",0.0300000000006548,FALSE
"4631","Employees prepared letters to governors and the mayors of more than 1,000 cities urging them not to participate in prayer day. They worked under signs that quoted Richard Dawkins (""The God of the Old Testament is arguably the most unpleasant character in all of fiction"") and Mark Twain (""Faith is believing what you know ain't so"").","employees prepared letters to governors and the mayors of more than cities urging them not to participate in prayer day they worked under signs that quoted richard dawkins",29,"the","found","for","when","store","castle","manuel","ashcroft","bishop","boone","burton",0.0299999999988358,FALSE
"4632","Ten women told the Register that Boger physically abused them in the 1970s and '80s at Flairs, a Pasadena gymnastics club. Boger kicked, punched, in some cases breaking bones, choked and burned them with cigarettes, the former Flairs gymnasts told the Register. Two women said Boger sexually abused them. Former Flairs gymnast Charmaine Carnes said Boger began fondling her when she was 8, and began having sexual intercourse with her when she was 12. Denise Gallion, another Flairs athlete, said Boger began having sexual intercourse with her when she was 13.","ten women told the register that boger physically abused them in the s and s at flairs a pasadena gymnastics club boger kicked punched in some cases breaking bones choked and burned them with cigarettes the former flairs gymnasts told the register two women",45,"said","of","years","weeks","days","and","hours","are","main","months","other",0.0100000000002183,FALSE
"4633","None matched.","none",2,"matched","of","the","to","had","other","here","since",NA,NA,NA,0.0300000000006548,FALSE
"4634","Gilbert Public Schools has hired an attorney to look into allegations of unprofessional conduct against Brian Yee, Highland Junior High School's principal.","gilbert public schools has hired",6,"an","been","to","the","not","become","an","also","made","done","taken",0.0200000000004366,TRUE
"4635","The other amendment, with the same exceptions, prohibits ""the use of any institution, structure, equipment, or physical asset"" owned by the state or any subdivision to perform abortions (again, apart from hospitals or other facilities owned by cities, villages and Cuyahoga and Summit counties).","the other amendment with the same exceptions prohibits the use of any institution structure equipment or physical asset owned by the state or any subdivision to perform abortions again apart from hospitals or other facilities owned by cities villages and cuyahoga and",43,"summit","the","then","it","that","we","in","he","they","is","you",0.0299999999988358,FALSE
"4636","The newspaper describes Bartoli as ""the great cheat"" who has defrauded investors of $125 million. An Interpol representative told La Republica that Bartoli probably is living in rural Peru using a false passport.","the newspaper describes bartoli as the great cheat who has defrauded investors of million an interpol representative told",19,"la",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"4637","Don Yatkeman, who died Saturday, specialized in rehabbing city real estate in various states of disrepair. He was fixing up homes in the Central West End years before that part of town became trendy.","don yatkeman who died saturday specialized in rehabbing city real estate in various states of disrepair he was fixing up homes",22,"in","to","with","the","and","in","for","on","as","by","my",0.0300000000006548,TRUE
"4638","I have always felt that the key to success in your profession is if you are broadening your understanding of the organization and you are taking on new challenges and you are continually learning through what are sometimes very difficult times. I wanted to make myself a better Coast Guard leader. All of what I was required to do to work through that significant change and then blend into the new unit was professionally enhancing. I think it helped keep me fresh and it provided me with a perspective I didn't have before. As I have moved up in my career, I think I have become more versatile and more useful to the Coast Guard because of the broadening I received during that assignment.","i have always felt that the key to success in your profession is if you are broadening your understanding of the organization and you are taking on new challenges",30,"and","york","year","testament","to","and","book","zealand","way","one","look",0.0299999999988358,TRUE
"4639","Some employees get upset by the patrons who don't pay for their meals, she said.","some employees get upset by the patrons who dont pay for",12,"their","for","to","off","attention","it","with","what","someone","considering","bills",0.0300000000006548,FALSE
"4640","It's common knowledge that every year, dozens of players -- for one reason or another and often for no failing of their own -- slip through the cracks and go undrafted, even though they were considered just as draft-worthy as many of the players picked.","its common knowledge that every year dozens of players",10,"for","the","my","this","course","his","it","her","our","them","us",0.0200000000004366,FALSE
"4641","""The coaches said we'll be able to run the ball with the backs we've got and the line, but let's have the quarterbacks get some reps today,"" Brewster said. ""All of the running backs bring something different, so anyone that we put back there, they'll be able to run.""","the coaches said well be able to run the ball with the backs weve got and the line but lets have the quarterbacks get some reps today brewster said all of the running backs bring something different",38,"so","that","to","about","like","you","else","of","we","so","was",0.0599999999994907,TRUE
"4642","The Kasich administration said it met with the three nursing home groups, the Senate president and House speaker on May 5 and had a cordial conversation.","the kasich administration said it met with",8,"the","the","and","it","up","with","the","you","my","last","her",0.0499999999992724,TRUE
"4643","It was a utility pole, crushing both her legs. The first thing she remembered was the emergency tech saying something ominous: “We’re trying to cut you out, but this is a power pole — it can’t be cut.” And given that time was running out — one lung had collapsed — Kari Miller made an impossible decision easy for everybody but herself.","it was a utility pole crushing both her legs the first thing she remembered was the emergency tech saying",20,"something","had","handled",NA,NA,NA,NA,NA,NA,NA,NA,0.0300000000006548,FALSE
