"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","prediction5","source5","prediction6","source6","prediction7","source7","prediction8","source8","prediction9","source9","prediction10","source10","timeToPredict","Correct"
"72","This time FVK provides brilliant material soundwise and musicwise. This is still weird narcotic hard core punk delivered with conviction and energy, probably their best recording so far.","this",2,"time","week","2","post","2","done","2","husband","2","can","2","just","2","im","2","man","2","adults","2","take","2",0.0299999999988358,FALSE
"73","“I don’t think that is the best way for having these changes. I don’t know on what basis they are going to charge us. The best option is dialogue,” said Asfaw Dingamo, Ethiopia’s minister of water resources.","“i don’t think that is the best way for having these changes i",14,"don’t","i","31B","changes","32C","effected","21","i","21","on","21","will","21","going","21","finally","21","much","2","wait","2",0.149999999994179,FALSE
"74","The juices today were the best yet. Breakfast was like a chilled, spiced carrot soup and lunch was like a thin salsa. Plus I had the Chocolate Nut Milk again for dinner because it was so enjoyable last night.","the juices today were the",6,"best","best","4","yet","3","best","31B","were","32C","best","31A","is","31A","best","3","the","31B","cafe","31A","without","21",0.119999999995343,TRUE
"75","My legs tight until","my",2,"legs","done","2","so","2","new","2","books","2","one","2","husband","2","stroller","2","year","2","south","2","trek","2",0.0299999999988358,FALSE
"76","When I'm getting something off the amazon website, I select 'Download to PC' and then manually drag it onto my device to bypass their updates.","when im getting something off",6,"the","the","3","topic","41B","topic","31A","topic","32C","clean","32A","topic","32A","something","32C","off","32C","to","32A","single","2",0.130000000004657,TRUE
"77","they have cancer. It is important for these women to be","they have cancer it is important for",8,"these","these","3","for","41C","for","31B","for","32B","to","31A","more","31A","but","31A","everyone","32A","while","32A","this","31A",0.169999999998254,TRUE
"78","The wisdom of the world is still foolish today. One of the great discussion topics of our age is how we get to heaven. The pervasive world view is that everybody will get there some day depending on what you’re looking for. The world’s view claims it doesn’t matter which path you follow to get there. Many in the world’s intellectual and scientific communities believe heaven and hell don’t even exist. We who are being saved, however, know that Jesus would not have gone to the cross if He did not know there was something beyond this world. Those of us who are being saved also know human wisdom costs a person everything, but Godly wisdom affords us everything.","the wisdom of the world is still foolish today one of the great discussion topics of our age is how we get to heaven the pervasive world view is that everybody will get there some day depending on what you’re looking for the world’s view claims it doesn’t matter which path you follow to get there many in the world’s intellectual and scientific communities believe heaven and don’t even exist we who are being saved however know that jesus would not have gone to the cross if he did not know there was something beyond this world those of us who are being saved also know human wisdom costs a person",112,"everything","a","42F","prays","3","general","31B","a","32C","everything","3","that","3","person","31B","world","2","whatever","2","bpd","2",0.139999999999418,TRUE
"79","i really liked this outfit because it was comfortable and good for running errands but still had that touch of style and fashion with it.","i really liked this outfit because it was comfortable",10,"and","and","3","so","41C","walking","2","so","32B","good","2","was","32C","the","32C","a","32C","so","32C","how","32C",0.169999999998254,TRUE
"80","2010.08.27 Iraq Shurqat 3 3 A suspected al-Qaeda attack leaves three dead.","iraq shurqat a suspected alqaeda attack leaves",8,"three","three","3","dead","2","three","2","bible","21","three","21","leaves","21",NA,NA,NA,NA,NA,NA,NA,NA,0.130000000004657,TRUE
"81","For an additional chance(s) to win:","for",2,"an","second","2","first","2","entire","2","years","2","much","2","way","2","new","2","books","2","water","2","tv","2",0.0299999999988358,FALSE
"82","entered her room with bouquet","entered her room with",5,"bouquet","bouquet","3","room","32C","time","31B","her","31B","for","31B","with","31B","than","31B","night","21","time","21","tomorrow","21",0.0800000000017462,TRUE
"83","This blog, prior to any changes","this blog",3,"prior","iheart","3","will","3","to","3","post","2","post","3","prior","3","and","3","because","3","like","2","iheart","2",0.0299999999988358,TRUE
"84","So although I didn’t have much technology at home I was getting pushed into it at school..","so although i",4,"didn’t","i","31B","beloved","21","the","21","was","21","is","21","beautiful","21","ironically","21","maybe","21","had","31A","get","31A",0.0600000000122236,FALSE
"85","Of course, there’s a moral to this tale ~ a little piece of wisdom that you can apply to your own stay in the transitional zone of Veterans Campus. And that moral is: if you don’t like the roommate you got now, don’t worry. Be happy. You’ll get along just fine, sooner or later, like Davy Crockett & Paragon did ~ Paragon, that poor old rattlesnake with the negative aura so thick around him that it was downright impossible for him to see through it.","of course there’s a moral to this tale a little piece of wisdom that you can apply to your own stay in the transitional zone of veterans campus and that moral is if you don’t like the roommate you got now don’t worry be happy you’ll get along just fine sooner",52,"or","or","4","later","3","later","2","or","31A","fine","42F","or","31B","fine","32C","or","3","sooner","31B","wrinkles","21",0.179999999993015,TRUE
"86","Michael helped me hold up the arches while I drilled in a few pilot holes and some dry wall screws. It's a good idea to really get those screws in flush with the MDF or even counter-sunk so you can't see them later. We installed the flat trim in the same way.","michael helped me hold up the arches while",9,"i","i","4","i","3","while","41C","i","31A","arches","42F","i","31B","while","32B","i","21","while","31B","drilled","21",0.180000000007567,TRUE
"87","For the yogurt sauce:","for",2,"the","second","2","first","2","entire","2","years","2","much","2","way","2","new","2","books","2","water","2","tv","2",0.0199999999895226,FALSE
"88","I can honestly say that I am now a HUGE fan of Shannon Stacey! I will be scouring my library for her other books very, very soon. And I definitely cannot wait for the third book in this series, Yours to Keep.","i can honestly say that i am now a huge fan of shannon stacey i will be scouring my library for her other books very very soon and i definitely cannot wait for the third",36,"book","book","4","book","31A","the","42F","in","3","third","41C","market","41C","book","3","mediocre","3","third","32B","market","32B",0.190000000002328,TRUE
"89","SXSW: The roller coaster ride of SXSW is not well recorded. Lines, crowds, and an ass load of crappy bands can make you anxious. You are watching the third mediocre band of the night. You want to leave, but your friends like the band. You go to see your ""can't miss pick of the night"". There's a line. You wait for 15 minutes. You give up and wander. You try not to be pissed. You make a random call: ""The Red Eyed Fly always has good Kharma for bands"". You stop in to find the drunkest bunch of musicians you've ever seen playing the most kick ass gypsy music ever. A beer distributor gives you a free beer to ""try"" it. You've had it before, but pretend not to. You call your friends to come over cause ""it kicks ass"". Life is good.","sxsw the roller coaster ride of sxsw is not well recorded lines crowds and an load of bands can make you anxious you are watching the third mediocre band of the night you want to leave but your friends like the band you go to see your cant miss pick of the night theres a line you wait for minutes you give up and wander you try not to be you make a random call the red eyed fly always has good kharma for bands you stop in to find the drunkest bunch of musicians youve ever seen playing the most kick gypsy music ever a distributor gives you a free to try it youve had it before but pretend not to you call your friends to",128,"come","come","4","to","41C","over","3","go","31A","come","31A","to","32B","come","3","to","32C","come","31B","not","31B",0.180000000007567,TRUE
"90","You can also see how we've got a layer of cement material in our walls (I think it's called rock lath like I mentioned here) - yep, that is fun to drill through and Aaron's Dad knows just how fun it is to sawzall through (someday we can get a proper intro to our kitchen for you).","you can also see how weve got a layer of cement material in our walls i think its called rock lath like i mentioned here yep that is fun to drill through",33,"and","and","4","and","3","through","41C","drill","52J","drill","42F","and","31B","and","31A","it","31A","through","32B","and","21",0.189999999987776,TRUE
"91","And a lot more trust","and a",3,"lot","people","3","amount","3","good","3","turn","3","real","3","band","3","company","3","ive","3","little","3","bloody","3",0.0800000000017462,FALSE
"92","Cake is always a very big party of wedding days, with that being said I've only ever eaten cake at one friends wedding and that is simply because it was forced down my throat by the groom. Odd, yes but it was a prank the Bride and Groom tried to play on myself and the bestman. I saw the prank coming a mile away and mouthed to the Bestman to ""Duck!"" he didn't understand and as I ducked and ran he got cake smashed in his face by the bride. The groom then chased me down and around the dance floor finally tackling me and giving me cake. Thankfully he and I are very close friends or I might have been really pissed not only at my bride/bff but at him too. Most weddings I go to I'm too busy dancing, or drinking to care about sweets, so while I was excited about planning my cake for my own wedding - I wasn't really concerned about eating it.","cake is always a very big party of wedding days with that being said ive only ever eaten cake at one friends wedding and that is simply because it was forced",32,"down","down","4","so","41C","my","3","down","31A","so","32B","down","3","guy","2","my","2","laugh","2","throat","2",0.169999999998254,TRUE
"93","Hibiscus aguas fresca","hibiscus aguas",3,"fresca","fresca","2","aguas","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0500000000029104,TRUE
"94","""It ain't over till the fat lady sings"" he says,","it aint over till the",6,"lady","fat","4","the","41C","lady","3","till","42F","fat","31B","fat","21","the","32B","fat","3","the","32C","the","31B",0.160000000003492,TRUE
"95","Working in the tech environment that we do with creative advertising types you would expect to see a lot of iPods, digital camera’s and laptops. And you do. But I kind of always assumed that it was because of the environment. I guess with the news that Apple have managed to flog 100 million of the things in the last 5 years or so it stands to reason that you’re gonna see them out there amongst the masses :)","working in the tech environment that we do with creative advertising types you",14,"would","would","3","would","21","expect","21","be","2","like","2","come","2","know","2","see","2","love","2","just","2",0.119999999995343,TRUE
"96","My party is a Hostess Appreciation Tea which is actually on my schedule for June. I can't wait to make the Creativity Journals with my sweet guests. We'll have hot teas, scones and quiche with a few other treats too. I enjoy this event so much each year, and I think the Journals will add to our fun.","my party is a hostess appreciation tea which is actually on my schedule for june i cant wait",19,"to","to","5","wait","51D","to","41A","to","41B","make","4","to","41C","wait","42C","wait","42E","make","3","wait","42F",0.25,TRUE
"97","After so many incidents in which Palestinian propaganda has managed to rearrange the narrative so that the Israeli side appears to be the aggressor, we could expect the IDF brass, as well as Israel’s government, to show restraint, perhaps count to 30, before throwing their own man under the media bus. But, alas, both IDF Chief of Staff Benny Gantz and Prime Minister Benjamin Netanyahu condemned a senior IDF officer for the way he appears on a selectively edited Palestinian video on You Tube.","after so many incidents in which palestinian propaganda has managed to rearrange the narrative so that the israeli side appears to be the aggressor we could expect the idf brass",31,"as","as","4","brass","41C","well","3","well","2","as","31A","idf","42F","as","31B","brass","32B","as","3","brass","32C",0.200000000011642,TRUE
"98","I would be more foolish than I've been,","i would",3,"be","every","3","money","3","forever","3","the","3","have","3","be","3","my","3","more","3","it","3","myself","3",0.0299999999988358,TRUE
"99","The first of what is likely many. “Due to technical disturbances, Oslo Børs’ Equity and Bonds markets are temporary halted. Members may delete their orders in this state. Further information will follow. “","the first of what is likely many",8,"“due","many","41C","many","31B","likely","42F","many","32B","many","32C","lie","32C","terrible","21","the","21","have","2","many","21",0.159999999988941,FALSE
"100","Dude, I just like it.","dude i",3,"just","like","3","just","3","just","21","you","21","frigging","21","much","2","wait","2","something","2","now","2","never","2",0.0500000000029104,TRUE
"101","at the age of seven (something that studies have shown makes the first","at",2,"the","age","2","end","2","day","2","time","2","corner","2","times","2","home","2","just","2","writing","2","point","2",0.0100000000093132,FALSE
"102","Phoebe Finds Her Voice is aimed at 7-11 year olds and is the first book in the Star Maker’s series.","phoebe finds her voice is aimed at year olds and is the first book in the",17,"star","star","4","the","41C","in","52J","in","42F","paper","31A","star","31A","crown","32A","the","32B","series","31B","star","31B",0.219999999986612,TRUE
"103","“Madam, God himself could not sink this ship.” --A steward on the Titanic","“madam god himself could not sink this ship” a steward",11,"on","the","3","the","2","on","3","titanic","2","little","32B","mute","32B","opening","32B","while","32B","physical","32B","minutes","21",0.160000000003492,TRUE
"104","“Are you making fun of me?” he’d ask.","“are",2,"you",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"105","¨ Jane Odiwe","�",2,"jane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"106","That dynamic keeps both the friendly and the adversarial on notice that they are in thrall to a supremo that can play fast and loose with the pros and cons of fluid situations.","that dynamic",3,"keeps","keeps","3","both","2","keeps","2","am","21","been","21","day","21","like","21","time","21","centre","21","didnt","21",0.0399999999935972,TRUE
"107","Noticing is what effected change for Simba in The Lion King. The voice of his father echoing from the past at last reminded him of that which he had long forgotten to pay attention to—his heart, his purpose, and his true identity. As he chose to be responsive to the truth, he was able to face his fears and return to the Pride Lands with a new perspective.","noticing is what effected change for simba in the lion king the voice of his father echoing from the past at last reminded him of that which he had long forgotten to pay attention to—his heart his purpose and his true identity as he chose",46,"to","be","4","chose","41C","be","3","to","31A","he","42F","chose","32B","to","4","to","3","chose","32C","add","2",0.44999999999709,TRUE
"108","I’ve been told by more than one person that I have the mouth of a sailor. Some of my favorite expletives involve a combination of the words “hairy,” “ballsack,” and “wrinkly.” This didn’t come naturally for me. I had to work at it, practice my trade, experiment with new combinations. I’ve worked very hard to have a mouth even the British Orbit lady couldn’t clean up.","i’ve been told by more than one person that i have the mouth of a sailor some of my favorite expletives",22,"involve","flavors","31B","favorite","42F","a","2","involve","2","as","21","you","21","author","21","expletives","21","flavors","21","lyric","21",0.120000000009895,TRUE
"109","During our visit Iceland was unseasonably cold. It was so cold in fact that we purchased an extra layer at Iceland's own 66˚N so we could withstand the coldness. Being on a boat only amplified that and we had to remember that this is summer.","during our visit iceland was unseasonably cold it was",10,"so","cold","4","so","31A","so","31B","it","32C","so","4","was","31B","not","3","late","3","thought","3","disaster","3",0.179999999993015,TRUE
"110","""In Mexico City, i'm known as puerco chupacabra.""","in mexico city im known",6,"as","as","4","known","41C","puerco","3","as","31A","im","42F","as","31B","known","32B","as","3","known","32C","known","31B",0.119999999995343,TRUE
"111","How did they get there?","how did they",4,"get","get","4","there","3","get","31B","get","3","they","31B","make","31A","get","31A","and","31A","were","31A","cried","31A",0.0900000000110595,TRUE
"112","Do you have any siblings? What are they like?","do you have any siblings what are they",9,"like","like","4","like","3","like","31B","like","31A","are","31A","are","32C","they","31B","single","2","not","2","like","2",0.139999999999418,TRUE
"113","I told by boss my leaving date this week and put the rumours to rest. Clients naturally got told first, but news travels fast with only a matter of weeks to go and soon everyone knew. condolences and wishes of good luck come flooding in, the work floods in and dries up at the same time – it is a funny one.","i told by boss",5,"my","my","5","my","4","my","41A","my","41B","my","41C","leaving","3","my","31A","leaving","2","umbrella","2","boss","32B",0.159999999988941,TRUE
"114","And for hot coffee... to make those chilly mornings even more enjoyable!","and for hot coffee to make those chilly mornings even more",12,"enjoyable","enjoyable","3","more","31B","even","32C","one","2","refuse","2","next","2","page","2","back","2","space","2","distance","2",0.130000000004657,TRUE
"115","We had a conference with the neonatologist this afternoon and he said that her breathing issues are a result of her prematurity and she would need to stay in the NICU until she is able to breathe without assistance and keep her pulse ox in the 90s. This could take days or weeks, every baby is different.","we had a conference with the neonatologist this afternoon and he said that her breathing issues are a result of her prematurity and she would need to stay in the nicu until she is able",36,"to","to","5","to","4","to","41A","to","41B","to","41C","breathe","3","to","31A","is","42F","to","3","able","32C",0.210000000006403,TRUE
"116","But who am I, I need to know","but who am",4,"i","i","4","i","3","i","31A","i","31B","am","31B","wife","2","thinking","2","dye","2","sheer","2","wearing","2",0.0799999999871943,TRUE
"117","(And I feel delirious","and",2,"i","day","2","know","2","think","2","course","2","hope","2","am","2","very","2","sure","2","like","2","time","2",0.0200000000040745,FALSE
"118","I got off early from work so I could be home in time to lock all the doors, draw all the curtains and hide under the covers of my bed until at least 3:30. Just in case.","i got off early from",6,"work","work","4","from","51D","from","41C","so","3","work","31A","from","42C","from","42E","from","42F","work","31B","from","32B",0.19999999999709,TRUE
"119","06/03 – San Francisco, CA @ Slims","– san",3,"francisco","francisco","2","ca","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,TRUE
"120","In itself, the tale of the publication of Into the Cannibal’s Pot: Lessons For America From Post-Apartheid South Africa bears telling. For while this polemic respects no political totems or taboos, it is faithful to facts. These facts cried out to be chronicled. They should not have had a struggle to find their way into print.","in itself the tale",5,"of","of","4","tale","41C","the","3","of","31A","of","31B","of","3","little","2","the","2","tale","32C","tale","31B",0.110000000000582,TRUE
"121","The victim’s friend, a young woman, tried to pull him back into his car. Attackers came after her, pulling her hair, punching her head and causing a bloody scratch to the surface of her eye. She called 911. A recording told her all lines were busy. She called again. Busy. On her third try, she got through and, hysterical, could scream only their location.","the victim’s friend a young woman tried to pull him back into his car attackers came after her pulling her",21,"hair","hair","4","hair","3","hair","31B","hair","31A","so","31A","pulling","32A","pulling","32C","her","31B","hair","21","reluctant","21",0.149999999994179,TRUE
"122","Ford: yes Churchill was also an anti-Kenyan pro-colonialist","ford yes churchill",4,"was","was","3","also","2","churchill","31B","was","21","it","21","prank","21","churchill","21",NA,NA,NA,NA,NA,NA,0.0700000000069849,TRUE
"123","When I got to the park I confirmed with the ranger that there was a water fountain at the summit. I knew this would be about 11 miles and I figured I had enough water to get me up there. Once at the top, the Visitor Center, my options for getting back opened up. It felt like a safe plan, so I went for it. Halemau’u Trailhead to the Summit, then possibly back from there or a quick trip back to the car via the road that went to the summit, or, I could hitchhike down if I needed it.","when i got to the park i confirmed with the ranger that there was a water fountain at the summit",21,"i","knew","4","i","31A","knew","3","i","3","the","32C","i","4","knew","2","possibly","2","i","2","or","3",0.149999999994179,TRUE
"124","(115030) and is matted on circles punched from the circle punches as well as the scallop circle punch. Again inside I have the envelopes, this time Very Vanilla","and is matted on circles punched from the circle punches as well",13,"as","as","4","as","31A","as","31B","as","32C","course","3","the","3","as","3","well","31B","conferences","3","of","3",0.139999999999418,TRUE
"125","Each morning when we roll out of bed we are given the world. We can make that day into anything we want just by starting the day right. I must admit, most mornings I hit snooze 10 times, each time dreading more the next time it goes off. The second that alarm goes off I flood my head with negative thoughts; 'ugg its another work day', 'I wonder what fires I will have to put out today', 'I can't wait until today is over', 'why did he break up with me?'. I'll give you one guess how my days turn out! I am a self-fulfilling prophecy. My days are slow, filled with turmoil and work problems, and I am sad and lonely. So today I tried something new! My alarm when off and I smiled. Not because I wanted to but because I needed to. I kissed my dog good morning and she bounced happily out of bed. Down the stairs we went and made some tea and scrubbed the kitchen clean. I drove to work listening to happy music, I greeted everyone with a smile, I sent out 'Good Morning!' texts. I greeted my work crew and checked in with them and I made another cup of tea. Then I opened my reader and found just what I needed to read on Elephant Journal :","each morning when we roll out of bed we are given the world we can make that day into anything we want just by starting the day right i must admit most mornings i hit snooze times each time dreading more the next time it goes off the second that alarm goes off i flood my head with negative thoughts ugg its another work day i wonder what fires i will have to put out today i cant wait until today is over why did he break up with me ill give you one guess how my days turn out i am a selffulfilling prophecy my days are slow filled with turmoil and work problems and i am sad and lonely so today i tried something new my alarm when off and i smiled not because i wanted to but because i needed to i kissed my dog good morning and she bounced happily out of bed down the stairs we went and made some tea and scrubbed the kitchen clean i drove to work listening to happy music i greeted everyone with a smile i sent out good morning texts i greeted my work crew and checked in with them and i made another cup of tea then i opened my reader and found just",217,"what","what","4","i","3","found","42F","what","31B","found","32C","what","3","just","31B","moving","31A","to","31A","my","31A",0.160000000003492,TRUE
"126","RYAN: You can’t go wrong with pairing food and friends.","ryan you can’t",4,"go","be","21","like","21","come","21","know","21","see","21","love","21","just","21","us","21","now","21","good","21",0.0299999999988358,FALSE
"127","So what exactly is Lie To Me about?","so what",3,"exactly","law","3","is","3","exactly","3","would","3","had","2","iron","2","was","2","for","2","day","2","shes","2",0.0299999999988358,TRUE
"128","It was not a brighter day in Nassau. It rained the entire trip but we were going on the island this time. You can’t let a little rain ruin your vacation. It is all about how you make your experience. We even made fashionable rain outfits out of trash bags! Some of us had on dresses, cardigans, and coats made out of a plastic bag. It was hilarious and we dressed it up with accessories like belts. When we got off the ship we ran to the island, which we didn’t need to do because there were shuttles taking us from the ship to the entrance of the island. We got wet for nothing but we kept pressing on.","it was not a brighter day in nassau it rained the entire trip but we were going on the island this time you can’t let a little rain ruin your vacation it is all about how you make your experience we even made fashionable rain outfits out of trash bags some of us had on dresses cardigans and coats made out of a plastic bag it was hilarious and we dressed it up with",75,"accessories","with","41C","up","52J","up","42F","with","32B","with","32C","is","31B","my","31B","ill","3","reading","3","filling","3",0.190000000002328,FALSE
"129","Here's to getting speedy!","heres to getting",4,"speedy","speedy","3","getting","31B","water","2","bed","2","opened","2","monkeys","2","topic","2","vacation","2","to","2","and","2",0.0599999999976717,TRUE
"130","Yep, that’s right, yawnology - the field of science dedicated to the study of yawns. Alright, I made that word up, but there really is quite a bit of research devoted to the phenomenon of yawning. It might sound frivolous and boring, but I assure you it is neither of those.","yep that’s right yawnology the field of science dedicated to the study of yawns alright i made that word up but there really is quite a bit",28,"of","of","5","of","4","of","41A","of","41B","of","41C","of","31A","a","42F","of","31B","bit","32C","bit","41C",0.240000000005239,TRUE
"131","But Travis beat me by finishing the beam early... and then we moved upstairs the very next day!","but travis beat me by finishing the beam",9,"early","and","3","beam","31B","the","42F","and","2","the","32C","early","3","early","2","day","32B","every","32B","hands","32B",0.139999999999418,TRUE
"132","Ok y'all (ja, YOU GUYS, who are out there, reading this. The one's I usually shamefully ignore. The ones I seldom address directly. I'm going to lay this on the line for you ... )","ok yall ja you guys who are",8,"out","out","5","out","4","are","51D","out","41A","out","41B","who","52J","out","41C","out","31A","are","42C","are","42E",0.25,TRUE
"133","And suddenly, I was a multi-tasker. My MamaEar was attuned to the cry of my kids. And it was good. To everyone but the adult trying to talk to me. But I figured, the adult could deal. The baby and the toddler had to be attended to. Or a ruckus would be raised, in my honor. And frankly, while I appreciated the effort involved, I could do without the ruckus. Who needs one more ruckus?","and suddenly",3,"i","was","3","i","3","the","2","was","2","last","2","friendly","2","multitasker","2","day","21","know","21","think","21",0.0399999999935972,TRUE
"134","Let our voices sing Him our praises","let our voices sing him",6,"our","our","4","him","41C","praises","3","our","31A","sing","42F","our","31B","him","32B","our","3","him","32C","our","21",0.14000000001397,TRUE
"135","Ahh… I just can’t get over them. I’ve seen them twice already. I wanted to watch them all the time but that would mean restless nights because I would definitely dream about being there. And I dream my character is stronger than Rindaman. Hahahah. I like that both films end with him and Genji fighting one-on-one. And I hope Genji won this time.","ahh� i just can’t get over them i’ve seen them twice already i wanted to watch them all",19,"the","the","4","all","41C","the","31A","them","42F","the","31B","time","3","same","3","the","3","all","31B","see","32C",0.179999999993015,TRUE
"136","Dundrum Town Centre was opened in 2005 having been built by Anglo “Golden Circle” member Joe O’Reilly and fellow Longford man, the late Liam Maye. The site was reportedly bought for €10.2m. With 79,000 sq metres it claims to be the biggest shopping centre in the State. It is reported to contribute some €7m per annum in local authority rates to DunLaoghaire-Rathdown County Council. The Irish Times claims that the centre had a footfall of 19m, that is 19m visitors, last year and further claims “a great many of them from the affluent south Dublin suburbs”. Phase II of the centre has been given the green light by planning authorities but its future is in doubt against the backdrop of the economic crisis – Phase II was to have been a €600m development which would have seen 101,000 sq metres of space added making the shopping centre the largest in Europe.","dundrum town centre was opened in having been built by anglo “golden circle” member joe o’reilly and fellow longford man the late liam maye the site was reportedly bought for �m with sq metres it claims to be the biggest shopping centre in the state it is reported to contribute some �m per annum in local authority rates to dunlaoghairerathdown",61,"county","to","32C","sure","21","seen","21","ways","21","able","21","nature","21","summit","21","revealed","21","been","21","like","21",0.100000000005821,FALSE
"137","That's it. Painless right? I would be forever grateful if you would just take an extra second out of your busy day to leave some words for me. And feel free to comment Anonymously if you would like. I won't mind. It's all for the sake of this blog. Because IHeart this blog, and IHeart you.","thats it painless right i would be forever grateful if you would just take an extra second out of your busy day to leave some words for me and feel free to comment",34,"anonymously","comment","41C","to","52J","to","42F","comment","32B","writing","31B","try","31B","comment","32C","this","2","any","2","anonymously","2",0.159999999988941,TRUE
"138","Gasoline Facts & Tips - Retail Marketing.” Sunoco, Inc.. N.p., n.d. Web. 16 Apr. 2012.","gasoline facts tips retail marketing”",6,"sunoco","retail","32C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0800000000017462,FALSE
"139","In the mean time, I decided to start keeping track of just what words Goldie can say. I started yesterday counting only spoken words, no matter how hard they were to understand. I was blown away that she used 87 different words!! I had no idea she was using that many. Today we weren't as diligent, but I noticed a bunch of words that she didn't say yesterday, so tomorrow we are going to keep track again. I also think its important that most of these were said without prompting. She either initiated the conversation or repeated them after I used them in a sentence. Goldie is not a ""performer"" so the best way to know where she is developmentally is to watch and interact with her during normal family routines.","in the mean time i decided to start keeping track of just what words goldie can say i started yesterday counting only spoken words no matter how hard they were to understand i was blown away that she used different words i had no idea she was using that many today we werent as diligent but i noticed a bunch of words that she didnt say yesterday so tomorrow we are going to keep track again i also think",80,"its","its","4","its","3","think","41C","also","42F","think","32B","home","31B","that","31B","no","31B","its","31B","think","32C",0.160000000003492,TRUE
"140","Shouldn’t DBKL be busy attending to all these? Or have they also sub-contracted all duties for some quick and easy earnings?","shouldn’t dbkl be busy attending to all these or have they",12,"also","also","4","also","3","they","41C","have","52J","also","31A","have","42F","they","32B","also","31B","heads","31B","they","32C",0.19999999999709,TRUE
"141","On top of the onion massacre, there was the prospect of cleaning the turquoise chopper, which by the way, isn’t the easiest thing to do. I damn near mutilated my hand with the stainless steel blades while trying to clean all the slightly inaccessible areas under the plastic cover! I thought this was supposed to simplify my life, not take it!","on top of the onion massacre there was the prospect of cleaning the turquoise chopper which by the way isn’t the easiest thing to do i",27,"near","damn","5","damn","41A","damn","41B","damn","41C","do","42F","near","4","waiting","4","up","4","i","32B","about","32A",0.220000000001164,TRUE
"142","No more diapers","no",2,"more","we","2","how","2","will","2","history","2","goes","2","super","2","maybe","2","thing","2","food","2","energy","2",0.0299999999988358,FALSE
"143","Rating - 5 out of 5","rating out",3,"of","of","3","of","21","system","21","bed","2","am","2","times","2","walking","2","morning","2","well","2","work","2",0.0299999999988358,TRUE
"144","Mom's usual lead a pretty tattered scattered life, so hope this inspires you to come up with something good for your Mom's this year.","moms usual lead a pretty tattered",7,"scattered","scattered","2","tattered","31B","pretty","42F","pretty","32C","sure","21","just","21","girls","21","hell","21","to","21","and","21",0.139999999999418,TRUE
"145","Cuando esté la lista puesta y si estais en ella me mandais un mail para confirmar el encargo (mi email está en la barra lateral, en la sección de Contacto). Contestaré a los correos tan rápido como pueda.","cuando est� la",4,"lista","lista","4","lista","31A","lista","31B","barra","3","puesta","3","la","31B","lista","3","lateral","2","puesta","2","de","2",0.0800000000017462,TRUE
"146","“Less of Self, and more of Thee.”","“less of self and more of",7,"thee”","of","51D","of","41C","of","42C","of","42E","of","42F","of","31B","about","31B","of","32B","deckboss","3","please","3",0.220000000001164,FALSE
"147","The connection between the title & the story only surfaces after you are about 80% into the book, leaving me very non-motivated to even read further to find out what the iron tooth is about in the first place. Even when I did find out what the iron tooth is about, & how it helps the story move further, it’s too late, since the author by then had successfully bored me.","the connection between the title the story only surfaces after you are about into the book leaving me very nonmotivated to even read further to find out what the iron tooth is about in the first place even when i did find out what the",46,"iron","iron","4","the","41C","what","52J","what","42F","the","32B","iron","31B","tooth","3","the","32C","within","31B","might","3",0.180000000007567,TRUE
"148","Naturally the move has taken a lot of time, Thursday and Friday last week were busy days regarding this. However, my time was not all spend humping furniture a fifty five years of collected items, on Saturday, along with Liz Hazell, our Walsall UKIP branch treasurer and Albert and Graham Duffen from Birmingham, I drove up to Skegness for the UKIP Spring Conference – which to say the least was a very uplifting day – UKIP is really on the march now and becoming a real threat to the other, longer established but totally failed, political parties.","naturally the move has taken a lot of time thursday and friday last week were busy days regarding this however my time was not all spend furniture a fifty five years of collected items on saturday along with liz hazell our walsall ukip branch treasurer and albert and graham duffen from birmingham i drove up to skegness for the ukip spring conference – which to say the least",69,"was","was","5","a","4","was","41A","was","41B","was","41C","was","31A","the","42F","a","3","was","4","the","31B",0.239999999990687,TRUE
"149","How are you affected by the size of the room you’re in?","how are you affected by the size of the",10,"room","room","5","room","4","the","51D","room","41B","room","31A","the","42C","the","42E","room","41C","the","42F","room","31B",0.260000000009313,TRUE
