"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","timeToPredict","Correct"
"85","SXSW: The roller coaster ride of SXSW is not well recorded. Lines, crowds, and an ass load of crappy bands can make you anxious. You are watching the third mediocre band of the night. You want to leave, but your friends like the band. You go to see your ""can't miss pick of the night"". There's a line. You wait for 15 minutes. You give up and wander. You try not to be pissed. You make a random call: ""The Red Eyed Fly always has good Kharma for bands"". You stop in to find the drunkest bunch of musicians you've ever seen playing the most kick ass gypsy music ever. A beer distributor gives you a free beer to ""try"" it. You've had it before, but pretend not to. You call your friends to come over cause ""it kicks ass"". Life is good.","sxsw",2,"the","not","2","well","2","roller","2",NA,NA,0,FALSE
"86","So I let the associate know the jeweler had bent my ring while replacing the diamond the last time I brought it in to be fixed. They assured me my ring would be fixed and I would have it back on my finger within a few days.","so i let the associate know the jeweler had bent my ring while replacing the diamond the last time i brought it in to be fixed they assured me my ring would be fixed and i would have it",40,"back","back","5","back","4","it","51D","it","42C",0.409999999996217,TRUE
"87","Every day. Every single day I do this with my nemesis I75. And every single day I remember what a dumbass I am for thinking I can beat the odds, that I won't be thinking unkind thoughts about whomever caused the accident that has resulted in the bumper to bumper clusterfuck that is the worst commute in the nation. I lament the fact that they don't have formal drivers' education here, that the public transportation system is pretty much nonexistent and, of course, I berate myself for once again for forgetting that the back roads aren't just more scenic. They're more efficient, too.","every day every single day i do this with my nemesis i and every single day i remember what a dumbass i am for thinking i can beat the odds that i wont be thinking unkind thoughts about whomever caused the accident that has resulted in the bumper to bumper clusterfuck that is the worst commute in the nation i lament the fact that they dont have formal drivers education here that the public transportation system is pretty much nonexistent and of course i berate myself for once again for forgetting that the back roads arent just",98,"more","more","3","just","31B","arent","42F","arent","32C",0.220000000001164,TRUE
"88","""It ain't over till the fat lady sings"" he says,","it aint over till the fat",7,"lady","lady","4","fat","41C","sings","3","lady","31A",0.260000000002037,TRUE
"89","Southend has suffered from its reputation as a place of down-market entertainment. The fun-fair atmosphere lends credence to this, persuading the snobs that this is not a place to visit, much less to be seen in, but I think that does Southend less than justice. There is more to the place than pubs, fish and chips and games arcades. In any case, I rather think that the merry chink of money in the tills removes any concerns about what the snobs think.","southend has suffered from its reputation as a place of downmarket entertainment the funfair atmosphere lends credence to this persuading the snobs that this is not a place to visit much less to",34,"be","seen","4","to","41C","seen","3","less","42F",0.25,FALSE
"90","It's behaving like a lady, or acting like a gentleman.","its behaving",3,"like","a","3","a","2","like","3","like","2",0.0599999999976717,TRUE
"91","However, I dug up some of the states for you to use:","however i dug up some of the",8,"states","the","51D","the","41C","the","52D","the","52G",0.389999999999418,FALSE
"92","My birthday is July 2nd, and what better gift could I give to myself that to reach this goal that’s nearing two years in the making? So from now until then, I’ll be giving Sunday updates/weekend wrap-ups on my progress called Birthday Gift Goal Updates.","my birthday is july nd and what better gift could i give to myself that to reach this goal that’s nearing two years in the",26,"making","making","4","the","41C","making","31A","in","42F",0.30000000000291,TRUE
"93","I would be more foolish than I've been,","i would",3,"be","the","3","my","3","i","3","it","3",0.0499999999956344,FALSE
"94","Dude, I just like it.","dude i",3,"just","like","3","just","3","you","21","just","21",0.0400000000008731,TRUE
"95","at the age of seven (something that studies have shown makes the first","at the age of seven",6,"something","something","3","had","41C","now","51D","bette","51D",0.209999999999127,TRUE
"96","Preschool Literacy:","preschool",2,"literacy","literacy","2",NA,NA,NA,NA,NA,NA,0,TRUE
"97","“Are you making fun of me?” he’d ask.","“are you",3,"making","be","2","i","2","borrow","2","the","2",0.0299999999988358,FALSE
"98","¨ Jane Odiwe","�",2,"jane",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"99","That dynamic keeps both the friendly and the adversarial on notice that they are in thrall to a supremo that can play fast and loose with the pros and cons of fluid situations.","that dynamic keeps both the friendly and the adversarial on notice that they are in",16,"thrall","thrall","4","in","41C","are","42F","to","3",0.339999999996508,TRUE
"100","Noticing is what effected change for Simba in The Lion King. The voice of his father echoing from the past at last reminded him of that which he had long forgotten to pay attention to—his heart, his purpose, and his true identity. As he chose to be responsive to the truth, he was able to face his fears and return to the Pride Lands with a new perspective.","noticing is what",4,"effected","what","31B","of","3","did","3","change","3",0.0500000000029104,FALSE
"101","In the stack of stuff were three envelopes from my attorney.","in the stack of stuff were three envelopes from",10,"my","my","3","from","31B","envelopes","32C","then","32A",0.279999999998836,TRUE
"102","I’ve been told by more than one person that I have the mouth of a sailor. Some of my favorite expletives involve a combination of the words “hairy,” “ballsack,” and “wrinkly.” This didn’t come naturally for me. I had to work at it, practice my trade, experiment with new combinations. I’ve worked very hard to have a mouth even the British Orbit lady couldn’t clean up.","i’ve been told by more than one person that i have the mouth of a sailor some of my favorite expletives involve a combination of the words “hairy” “ballsack” and “wrinkly” this didn’t come naturally for me i had to work at it practice my trade experiment with new combinations",51,"i’ve","stars","31B","new","32C","york","21","city","21",0.190000000002328,FALSE
"103","How did they get there?","how",2,"did","times","2","the","2","we","2","a","2",0.0299999999988358,FALSE
"104","I told by boss my leaving date this week and put the rumours to rest. Clients naturally got told first, but news travels fast with only a matter of weeks to go and soon everyone knew. condolences and wishes of good luck come flooding in, the work floods in and dries up at the same time – it is a funny one.","i told by boss my leaving date this week and put the rumours to rest clients naturally got told first but news travels fast with",26,"only","a","3","with","31B","fast","32C","only","3",0.220000000001164,TRUE
"105","And for hot coffee... to make those chilly mornings even more enjoyable!","and",2,"for","am","2","suk","2","bit","2","think","2",0.0100000000020373,FALSE
"106","NIGHT OF THE DRIBBLER","night of",3,"the","ink","3","the","3","navy","3","the","21",0.0899999999965075,TRUE
"107","He may not always take part in our insane escapades or hang around the newsroom as much as we do, but I love Ryan too death. I know he’s all Arts and Entertainment now, but he can never forget where he started – an Assistant News Editor. There are very few people I would put money on, but Ryan is one of them. He’s not only going places, but he’s already gotten places. I’ve never seen anyone at the paper that can write a feature like this kid. He’s pretty awesome.","he may not always take part in our insane escapades or hang around the newsroom as much as we do but i love ryan too death i know he’s",30,"all","know","42F","am","32C","know","32C","a","31B",0.190000000002328,FALSE
"108","06/03 – San Francisco, CA  Slims","–",2,"san",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"109","The victim’s friend, a young woman, tried to pull him back into his car. Attackers came after her, pulling her hair, punching her head and causing a bloody scratch to the surface of her eye. She called 911. A recording told her all lines were busy. She called again. Busy. On her third try, she got through and, hysterical, could scream only their location.","the victim’s friend a young woman tried to pull him back into his car attackers came after her pulling her hair punching her head and causing a bloody scratch to the surface of her eye she called a recording",40,"told","a","52J","her","3","recording","31B","a","42F",0.25,FALSE
"110","When I got to the park I confirmed with the ranger that there was a water fountain at the summit. I knew this would be about 11 miles and I figured I had enough water to get me up there. Once at the top, the Visitor Center, my options for getting back opened up. It felt like a safe plan, so I went for it. Halemau’u Trailhead to the Summit, then possibly back from there or a quick trip back to the car via the road that went to the summit, or, I could hitchhike down if I needed it.","when i got to the park i confirmed with the ranger that there was a water fountain at the summit i knew this would be about miles and i figured i had enough water to get me up there once at the top the visitor center my options for getting back",52,"opened","opened","3","back","31B","getting","32C","car","2",0.279999999998836,TRUE
"111","Each morning when we roll out of bed we are given the world. We can make that day into anything we want just by starting the day right. I must admit, most mornings I hit snooze 10 times, each time dreading more the next time it goes off. The second that alarm goes off I flood my head with negative thoughts; 'ugg its another work day', 'I wonder what fires I will have to put out today', 'I can't wait until today is over', 'why did he break up with me?'. I'll give you one guess how my days turn out! I am a self-fulfilling prophecy. My days are slow, filled with turmoil and work problems, and I am sad and lonely. So today I tried something new! My alarm when off and I smiled. Not because I wanted to but because I needed to. I kissed my dog good morning and she bounced happily out of bed. Down the stairs we went and made some tea and scrubbed the kitchen clean. I drove to work listening to happy music, I greeted everyone with a smile, I sent out 'Good Morning!' texts. I greeted my work crew and checked in with them and I made another cup of tea. Then I opened my reader and found just what I needed to read on Elephant Journal :","each morning when we roll out of bed we are given the world we can make that day into anything we want just by starting the day right i must admit most mornings i hit snooze times each time dreading more the next time it goes off the second that alarm goes off i flood my head with negative thoughts ugg its another work day i wonder what fires i will have to put out today i cant wait until today is over why did he break up with me ill give you one guess how my days turn out i am a selffulfilling prophecy my days are slow filled with turmoil and work problems and i am sad and lonely so today i tried something new my alarm when off and i smiled not because i wanted to but because i needed to i kissed my dog good morning and she bounced happily out of bed down the stairs we went and made some tea and scrubbed the kitchen clean i drove to work listening to happy music i greeted everyone with a smile i sent out good morning texts i greeted my work crew and checked in with them and i made another cup of",208,"tea","tea","4","of","41C","tea","31A","cup","42F",0.280000000006112,TRUE
"112","So what exactly is Lie To Me about?","so",2,"what","am","2","can","2","all","2","of","2",0.0199999999967986,FALSE
"113","Here's to getting speedy!","heres to getting",4,"speedy","speedy","3","getting","31B","of","2","to","2",0.120000000002619,TRUE
"114","“So Santa, have you been Santa long?”","“so santa have you",5,"been","been","4","been","31A","been","31B","those","3",0.129999999997381,TRUE
"115","The other thing I love about this is that I don’t have to start out all kinds of wonderful. God seems to be very generous when it comes to handing me seeds to plant. It’s good, because new gardeners and farmers make mistakes in their planting. Planting or sowing isn’t merely a matter of throwing handfuls of seeds onto the ground and hoping for the best. Some seeds must be planted deeper than others. Some need more space while some are good with crowding. Some need more water or more sun or more acid or more alkalinity. The production of a really beautiful, vibrant, fruitful harvest will probably be the end result of lots of mistakes and failures as the new gardener learns and becomes an experienced gardener. The gardener who achieves fruitfulness will be the one who persevered. “Doing good” seems much the same.","the other thing i love about this is that i don’t have to start out all kinds of wonderful god seems to be very generous when it comes to handing me seeds to plant it’s good because new gardeners and farmers make mistakes in their planting planting or sowing isn’t merely a matter",54,"of","of","4","of","31A","of","31B","of","3",0.260000000002037,TRUE
"116","I created formats for my comics, books, CD’s, DVD’s…even my video games. I’d like to talk about the books.xml file I put together, and how it’s changed across 7 years.","i created",3,"formats","formats","3","for","2","one","2","us","2",0.0599999999976717,TRUE
"117","Let our voices sing Him our praises","let",2,"our","go","2","the","2","know","2","all","2",0.0400000000008731,FALSE
"118","She narrowed her eyes. “Yes, but…well, this really isn’t what I had in mind.”","she narrowed her eyes “yes but�well",7,"this",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"119","Ahh… I just can’t get over them. I’ve seen them twice already. I wanted to watch them all the time but that would mean restless nights because I would definitely dream about being there. And I dream my character is stronger than Rindaman. Hahahah. I like that both films end with him and Genji fighting one-on-one. And I hope Genji won this time.","ahh� i just can’t get",6,"over","jogging","31A","my","31A","those","31A","about","32C",0.180000000000291,FALSE
"120","Maximum Level: None","maximum",2,"level","none","2","level","2",NA,NA,NA,NA,0.0299999999988358,TRUE
"121","For me, the enduring memory was that moment Jacob Zuma ended his 56-page speech with the thunderous slogan, ""Amandla!"" to which the crowd responded with an equally deafening ""Ngawethu!""","for me the enduring memory was that moment jacob zuma ended his",13,"page","page","4","page","3","his","41C","page","31A",0.239999999997963,TRUE
"122","Dundrum Town Centre was opened in 2005 having been built by Anglo “Golden Circle” member Joe O’Reilly and fellow Longford man, the late Liam Maye. The site was reportedly bought for €10.2m. With 79,000 sq metres it claims to be the biggest shopping centre in the State. It is reported to contribute some €7m per annum in local authority rates to DunLaoghaire-Rathdown County Council. The Irish Times claims that the centre had a footfall of 19m, that is 19m visitors, last year and further claims “a great many of them from the affluent south Dublin suburbs”. Phase II of the centre has been given the green light by planning authorities but its future is in doubt against the backdrop of the economic crisis – Phase II was to have been a €600m development which would have seen 101,000 sq metres of space added making the shopping centre the largest in Europe.","dundrum town centre was opened in having been built by anglo “golden circle” member joe o’reilly and fellow longford man the late liam maye the site was reportedly bought",30,"for","reportedly","32C","bought","21","arrested","21","few","2",0.200000000004366,FALSE
"123","Gasoline Facts & Tips - Retail Marketing.” Sunoco, Inc.. N.p., n.d. Web. 16 Apr. 2012.","gasoline facts tips retail marketing”",6,"sunoco","retail","32C",NA,NA,NA,NA,NA,NA,0.0999999999985448,FALSE
"124","I'm getting off topic here. I'm starting to rant and rave a little.","im getting off topic here im starting to rant and rave a",13,"little","little","4","a","51D","little","3","a","41C",0.290000000000873,TRUE
"125","But at this morning’s preview, he defended the remark, saying: ‘I am concerned with comfort. I know that it’s important but I don’t want to have this evoked in my design.","but at this morning’s preview he defended the",9,"remark","remark","3","the","31B","remark","21","defended","32C",0.220000000001164,TRUE
"126","For example, just this lunchtime a nice account man named Matt was sent out in the pouring rain to deliver a laptop and broadband stick to some senior suits and clients. What was so important? Well, they were on a lunch jolly and they fancied looking at their website.","for example just this lunchtime a nice account man named matt",12,"was","was","4","sent","3","sent","2","was","31A",0.239999999997963,TRUE
"127","As of January 1st. 2011 every cab will run on meters. The meters will be paid for by the owners of the company, the meters will be purchased from a distributor to be named by the city. Every cab will run the same model of meter and will be calibrated by the distributor every 6 months. The cost of calibration will be covered by the owner/broker of the cab.","as of january st every cab will run on meters the meters will be paid for by the owners of the company the meters will be purchased from a distributor to be named by the city every cab will run the same",43,"model","model","4","same","41C","model","31A","model","31B",0.260000000002037,TRUE
"128","On top of the onion massacre, there was the prospect of cleaning the turquoise chopper, which by the way, isn’t the easiest thing to do. I damn near mutilated my hand with the stainless steel blades while trying to clean all the slightly inaccessible areas under the plastic cover! I thought this was supposed to simplify my life, not take it!","on top of the onion massacre there was the prospect of cleaning the turquoise chopper which by the way isn’t the easiest thing to do i damn near mutilated my hand with the stainless steel blades while trying to clean all the slightly inaccessible areas under the plastic cover i thought this was supposed to simplify my life not",60,"take","it","4","not","41C","it","3","take","31A",0.269999999996799,TRUE
"129","Rating - 5 out of 5","rating out",3,"of","of","3","of","21","system","21","bed","2",0.0400000000008731,TRUE
"130","Cuando esté la lista puesta y si estais en ella me mandais un mail para confirmar el encargo (mi email está en la barra lateral, en la sección de Contacto). Contestaré a los correos tan rápido como pueda.","cuando est� la lista puesta y si estais en ella me mandais un mail para confirmar el encargo",19,"mi","email","3","encargo","31B","email","2","el","32C",0.239999999997963,FALSE
"131","Denis Gagnon, Jeremy Laing, Lida Baday, Line RUNWAY, Mikhael Kale, Pink Tartan, Smythe, Wayne Clark, Wings + Horns","denis gagnon jeremy laing",5,"lida","lida","3","laing","31B","baday","2","jeremy","32C",0.110000000000582,TRUE
"132","God Of Miracles, we pray that miracles and testimonies shall become come in our lives in this month, as we commonly breath in air on daily basis freely without knowing the value, but we say thank You, Lord for making the air available to us and granting us the privilege to have them so freely and we decree that in every seconds, minutes, hours, mornings, afternoons, evenings, nights, days and weeks in this month, we shall live in miracles, we shall dwell in testimonies all way through and we shall testify in the midst of the saints and to the glory of God, the Father, God, the Son and God, the Holy Spirit, this we pray, receive and claim over our lives in Jesus Name. Amen*7times, 7times and 7times.","god of miracles we",5,"pray","pray","4","we","41C","shall","3","pray","3",0.230000000003201,TRUE
"133","This association is like Summer in a mouthful, if Summer were to decide she got a little tired of eating salad and drinking water all day long. This is the part when Summer gets fun.","this association is like summer in a mouthful if summer were to decide she got a little tired of eating salad and drinking water all",26,"day","long","3","all","31B","water","32C","day","3",0.25,TRUE
"134","It is changing the landscape of education.","it is",3,"changing","of","3","a","3","so","3","time","3",0.0299999999988358,FALSE
"135","Over the past year or so, I've been in a lot of boutiques that are a little new to me. A big reason for that has been location--Minneapolis, Las Vegas, Dallas, and Paris offer some great stores. But I knew what I wanted to look at long before I walked in. In Burberry, I wanted to find THE trench, and I did. How? I walked in, I started looking around, I got approached, and I accepted the offer of help. I told the sales assistant that I was only looking (I said this first off), but I felt it time to think about investing in a trench (given I've been considering this for ten years, my sense of time clearly is fluid). The ensuing discussion and try-ons were about fitting me. That's it. I took the information on the sales assistant's card. When I decide to purchase it, he's who I call. It was all professionally handled--my end, his end. In other words, it wasn't about the cupid's singing--it was about finding information.","over the past year or so ive been in a lot of boutiques that are a little new to me a big reason for that has been locationminneapolis las vegas dallas and paris offer some great stores but i knew what i wanted to look at long before i walked in in burberry i wanted to find the trench and i did how i walked in i started looking around",71,"i","got","3","looking","42F","i","3","and","32A",0.239999999997963,TRUE
"136","In 1950, the remains of Wingate and his nine companions were disinterred from their grave in India. With his family’s agreement, Wingate was taken to what US Military personnel hold to be sacred ground. On the old plantation of confederate General Robert E. Lee, in what is now Arlington National Cemetery, Orde Charles Wingate was laid to rest with full military honors. The fact that this was done at a time when the United States was occupied by the expansion of communism in Asia and a frightening face off with Soviet forces in Europe speaks volumes about how highly the United States Military regarded Orde Wingate.","in the remains of wingate and his nine companions were disinterred from their grave in india with his family’s agreement wingate was taken to what us military personnel hold to be sacred ground on the old plantation of confederate general robert e lee in what is now arlington national cemetery orde charles wingate was laid to rest with full military honors the",63,"fact","that","3","the","31B","fact","21","honors","32C",0.190000000002328,TRUE
"137","I did actually sew the faux stitching on my sewing machine, but the thread ran out, so I just left the wholes and markered the stitching... I love these papers, but were a little too soft so added a good rub of ink... including to the ribbon and button...","i did actually sew the faux stitching on my sewing machine but the thread ran out so i just left the",22,"wholes","wholes","4","the","51D","the","41C","left","52J",0.309999999997672,TRUE
"138","So God suffers, in other words we suffer, especially our most male component that tries to do good. In other words we believe that any really good men will need to suffer to the point of dying, which in turn will make accompanying good women suffer accordingly, which in turn will make it even harder for people not particularly good at life to catch a break, and since it will be done unto us as we believe, no wonder we can’t seem to stop killing each other incessantly for even two minutes at any given point in time. No wonder we keep ourselves perpetually too lazy to clean up after our own filth, or toss a can in a recycling bin. No wonder those of us who believe that God is greater than the consciousness of a suffering person constantly have to work harder after those who insist on worshipping suffering itself as though it is their own God; as if it is themselves. Since it shall be done unto us as we believe, or at least so says that guy supposedly, can we stop believing in a suffering God now and start believing in a happy one? It seems to be what Jesus would have wanted for us; to believe in a happy God. Or would anyone rather believe in a God that wants us to suffer?","so god suffers in other words we suffer especially our most male component that tries to do good in other words we believe that any really good men will need to suffer to the point of dying which in turn will make accompanying good women suffer accordingly which in turn will make it even harder for people not particularly good at life to catch a break and since it will be done unto us as we believe no wonder we can’t seem to stop killing each other incessantly for even two minutes at any given point in time no wonder we keep ourselves perpetually too lazy to clean up after our own filth or toss a can in a recycling bin no wonder those of us who believe that god is greater than the consciousness of a suffering person",140,"constantly","now","31B","prays","31A","god","31B","person","31B",0.200000000004366,FALSE
"139","I feel more comfortable walking along the shore (a more open, spacious feeling). When I am walking the trails in the wooded parks, it feels more closed in and secluded and I'm not comfortable walking alone.","i feel more comfortable walking along the shore a more open spacious feeling when i am walking the",19,"trails","trails","3","the","41C","the","31B","walking","42F",0.360000000000582,TRUE
"140","I collect everything African from artifacts and books to my gatherings from the countryside around me. Here are just a few of the books in my collection.","i collect everything african from artifacts and books to my gatherings from",13,"the","the","3","from","31B","the","21","one","32A",0.219999999993888,TRUE
"141","Today's good thing is that my 20-year-old daughter drinks her coffee from a Star Trek mug. It's my Star Trek mug ... from Ten-Forward on the Enterprise ... you know, the starship mess hall. She could so easily think I'm completely lame -- and probably does, in other ways -- but she shares my love of geek-dom. Live long and prosper.","todays good thing is that my yearold daughter drinks her coffee from a star trek mug its my",19,"star","star","5","my","51D","trek","4","star","41A",0.360000000000582,TRUE
"142","AND, to keep it fair for everyone who isn't on facebook, one random comment on this blog post will win this set too!","and to keep it fair for everyone who isnt on facebook one random comment on this blog post will win",21,"this","this","4","win","41C","set","3","this","31A",0.30000000000291,TRUE
"143","Do you see the packet of gummy candy? Gummy cherries to be precise ..... delicious!!!!","do you see",4,"the","the","4","the","31A","is","3","i","3",0.0999999999985448,TRUE
"144","That benediction of late roses lives in me, still.","that",2,"benediction","am","2","find","2","should","2","makes","2",0.0200000000040745,FALSE
"145","Both Jan (here) and someone calling himself Bill in Oz (here) have recently mentioned an idea of the follower in tango accompanying the leader, as a way of resolving the problems of possible negative connotations of the term ""follower."" I've been giving this some thought...","both jan here and someone calling himself bill in oz here have recently mentioned an idea of the follower in tango accompanying the leader as a way of resolving the problems of possible negative connotations of the term follower ive",41,"been","been","3","ive","31B","in","42E","follower","42F",0.299999999995634,TRUE
"146","Oh and before I forget, our special sister, Deb’, well she requested we ordered her a new sim card, she wanted to make sure her soon to be ex-husband couldn’t text or ring her so that was organised, although ironically, whilst standing in the O2 shop, he rang and we hung up on him 3 times within a matter of minutes before removing the battery and sim card and oops he can’t contact her again on there, whoopee.","oh and before i forget our special sister deb’ well she requested we ordered her a new sim card she wanted to make sure her soon to be exhusband couldn’t text or ring her so that was organised although ironically whilst standing in the o shop he rang and we hung",52,"up","up","5","hung","51D","on","4","up","41A",0.330000000001746,TRUE
"147","Here's the revised layout:","heres the revised",4,"layout","layout","3","layout","2","part","31B","fun","31B",0.0899999999965075,TRUE
"148","The man at the Auto-Body-Repair Shop said he'd lend me a courtesy car, and so he did. It was quite a nice car in some ways, apart from the rattles, the rust and the black smoke, but it was very small and had a ridiculously low bucket seat, the type that has a 6 inch ledge all round your thighs. With great difficulty I managed to manouevre myself into this ground-level driving seat, with my legs sticking horizontally forward into the well. I drove off, noticing as I did so that the car wouldn't go into second gear, and shortly afterwards, that the petrol gauge registered zero.","the man at the autobodyrepair shop said hed lend me a courtesy car and so he did it was quite a nice car in some ways apart from the rattles the rust and the black smoke but it was very small and had a ridiculously low bucket seat the type that has a inch ledge all round your thighs with great difficulty i managed to manouevre myself into this groundlevel driving seat with my legs sticking horizontally forward into the well i drove off noticing",86,"as","noticing","41C","off","52J","i","3","noticing","31B",0.310000000004948,FALSE
"149","This view clearly has much wider significance. That it is at the edges of practically any sphere, from science to society, that diversity and innovation can be found. If you want to know what the next interesting thing will be, look to the edges of society where ideas clash and fuse. Permaculture itself has been pretty marginal for years – as has the eco-movement. Hippies have been quietly living in woods, harvesting water and composting poo for a long time – it is only now that those ideas are gaining weight in the mainstream.","this view clearly has",5,"much","much","3","has","31B","clearly","32C","to","32A",0.139999999999418,TRUE
"150","In other words, the use of mantras are not God pleasing. God does not want anyone approaching Him in a senseless manner. He wants us to rightfully use the mind He created for us. To approach the most holy LORD of all, without using the gift of our full senses is an abomination and a gross sign of disrespect. It’s being silly — and we are not to act silly before God Almighty. That is sinful.","in other words the use of mantras are not god pleasing god does not want anyone approaching him in a senseless manner he wants us to rightfully use the mind he created for us to approach",37,"the","the","4","to","52J","most","3","the","31A",0.299999999995634,TRUE
"151","So, yesterday was my one year blogging anniversary! I'm ashamed to admit that I didn't even notice until late last night, by which time it was too late to get out the candles or whip up a cake. Instead, we'll have to celebrate a day late - and with a warm, tender loaf of quick bread in place of white cake and buttercream.","so yesterday was my one year blogging anniversary im ashamed to admit that i didnt even notice until late last night by which time it was too late to get out the candles or whip up a cake instead well have",42,"to","to","4","to","31A","well","42F","to","31B",0.260000000002037,TRUE
"152","Returning to Singapore, we both were taken on as legal assistants in Laycock & Ong, a thriving law firm in Malacca Street. Then we married officially a second time that September 1950 to please our parents and friends. She practised conveyancing and draftsmanship, I did litigation.","returning to singapore we both were taken on as legal assistants in laycock ong a thriving law firm in malacca street then we married officially a second time that september to please our",34,"parents","parents","3","dont","31B","please","32C","our","31B",0.220000000001164,TRUE
"153","Do I feel hurt? Of course not! I think I'm probably ten times more vain than most people, so probably twice as much as other gyaru lol.","do i",3,"feel","the","3","that","3","believe","3","am","3",0.0500000000029104,FALSE
"154","A Very Merry Daughter of the Bride (Not for Children) ... LMN ... 8 PM","a very merry daughter of the",7,"bride","the","31B","money","32B","of","32C","things","3",0.180000000000291,FALSE
"155","Raymundo Eli Rojas (Rojas): René, for those who are unfamiliar with you and your works, can you tell us a little bit about yourself? Where were you born and raised? Education? Where are you living now? Anything else you want to share.","raymundo eli rojas rojas ren� for those who are unfamiliar with you and your works can you tell us a little bit about yourself where were you born and raised education where are you living",36,"now","now","4","now","3","living","41C","now","31A",0.269999999996799,TRUE
"156","The neighbor’s wife, who had just returned from shopping at the grocery store, saw her husband’s mouth on the woman’s mouth and slammed her husband in the back of the head with a bag of canned goods, knocking him out and cutting his scalp to a point where it needed stitches.","the neighbor’s wife who had just returned from shopping at the grocery store saw her husband’s mouth on the woman’s mouth and slammed her husband in the back of the head with",33,"a","a","5","bag","4","a","41A","a","41B",0.310000000004948,TRUE
"157","Today's weight 9st 2lb ( target weight ). Going out for a big scoff tonight for stepsons 30th birthday so that will soon change.","todays weight st lb target",6,"weight","weight","4","weight","3","target","41C","weight","31A",0.25,TRUE
"158","This month we had 11 appointment and one 5 day hospital stay.","this month we had appointment and one",8,"day","one","31B","i","42E","i","32B","and","32C",0.220000000001164,FALSE
"159","The show was marred only by Annoying Forced Laugh Guy who clearly was trying to make an indelible impression for the recording.","the show was marred only by annoying forced laugh guy who",12,"clearly","who","41C","was","3","who","31B","who","32B",0.229999999995925,FALSE
"160","in stilettos and","in",2,"stilettos","same","2","words","2","end","2","house","2",0.0400000000008731,FALSE
"161","You are always with me","you",2,"are","be","2","i","2","borrow","2","the","2",0,FALSE
"162","Book-The Lost Hero","bookthe lost",3,"hero","hero","3","hero","21","lost","21","the","2",0.0800000000017462,TRUE
"163","all may hear th’effectual call,","all",2,"may","us","2","same","2","our","2","long","2",0.0199999999967986,FALSE
"164","3 TBLS sugar","tbls",2,"sugar","sugar","2",NA,NA,NA,NA,NA,NA,0.0599999999976717,TRUE
"165","I know I posted this picture a while back, but I didn’t write what I was thinking or I tried to post with my iPhone and the text didn’t show up. Anyway, here’s what I was thinking when I snapped the photo.","i know i posted this picture a while back",10,"but","back","41C","i","4","but","31A","while","42F",0.310000000004948,TRUE
"166","Butter for the dish and frying","butter for the dish and",6,"frying","and","41C","frying","4","grated","4","dish","42F",0.309999999997672,TRUE
"167","compost rich soil for raised beds","compost rich",3,"soil","soil","3","for","2","soil","21","soil","2",0.0800000000017462,TRUE
"168","And my boys are constantly encouraged to snag their workbooks or drawing pads and let loose... which IHeart!","and my boys are constantly",6,"encouraged","constantly","31B","are","42F","to","2","are","32C",0.239999999997963,FALSE
"169","To read more of the Deckboss post ”Legislature lavishes aquaculture industry with cash”, please click here -://deckboss.blogspot.ca/2012/05/legislature-lavishes-aquaculture.html","to read more of the deckboss post ”legislature lavishes aquaculture industry with cash”",14,"please","look","21","vintage","21","girls","21","father","21",0.139999999999418,FALSE
"170","Meanwhile in the East. The Indonesian Teen model Manohara, whom married to the Malaysians Princes Tengku Muhammad Fakhry Petra (at the age of 14, -now 18’teen), is inspiring new depths between those old national wounds of Indonesia and Malaysia.","meanwhile in the",4,"east","the","31B","upstairs","3","end","3","house","3",0.110000000000582,FALSE
"171","Money Concepts International, Palm Gardens, Florida","money concepts international",4,"palm","beer","2","palm","2",NA,NA,NA,NA,0.0400000000008731,TRUE
"172","1995 – 2000: Around this time I developed asthma. I suppose that’s what all those bronchitis bouts were leading up to. Don’t worry. If you get this, the medications are very good now and you won’t be left like Che Guevara – alone and infirm in a tent, breathing into an empty, paper bag.","– around this time i developed asthma i suppose that’s what all those bronchitis bouts were leading up to don’t worry if you get this the medications are very good now and you won’t be left",37,"like","che","3","like","3","a","32B","for","32B",0.190000000002328,TRUE
"173","Today, it’s Summer.","today it’s",3,"summer","of","21","the","21","like","21","be","21",0.0499999999956344,FALSE
"174","Audi’s Q3 is an interesting proposition. It’s aimed squarely at the BMW X1 and offers decent performance from a range of small petrol and diesel engines. Combining sporty premium SUV features in a compact body, the Q3 range starts at R370,000. It looks a little ordinary but its strength will be in ride, road holding and luxury interior. In a move that is most unlike Audi, there are some really funky colours available for the Q3. Google “Samoa Orange” if you don’t believe me.","audi’s q is an interesting proposition it’s aimed squarely at the bmw",13,"x","and","4","bmw","41C","and","3","x","31A",0.319999999999709,TRUE
"175","I also purchased various dried herbs- these are often served on a Greek salad and mixes for making authentic tzatziki. And of course some real Feta cheese. Rich and creamy, salty, moist and slightly sour, semi-solid and certainly not hard and tasteless like you often find here.","i also purchased various dried",6,"herbs","herbs","3","these","2","currants","2","black","2",0.180000000000291,TRUE
